id,regional_name,name,description,interesting_facts,country
190,Spanish,Rioja rouge (Espagne),"Rioja is arguably Spain's top wine region and is one of only two regions classified under the Denominación de Origen Calificada (DOCa) system. Its two most important red grapes are Tempranillo and Garnacha.

Although red wines from Rioja are prized, Spanish wines generally offer great bang for the buck, allowing one to indulge in quality vino without breaking the bank!

There are four categories of red wine in Rioja. The youngest of these is “Joven”. “Crianza” wines are required to age for a minimum of 2 years, with 6 months spent in oak barrels. The next level is “Reserva” in which the wine ages for a minimum of 3 years, with at least 1 year in oak barrels. Finally, the most mature wines are labeled “Gran Reserva”. These wines mature for minimum 2 years in oak barrels, followed by at least 3 years in the bottle.

Typically younger wines will be lighter in body style, exhibit more fresh fruit characteristics and are suitable to drink while young. Older wines have more developed flavor profiles, earthy characteristics, and are better suited to aging.

The medium body and high acidity in Spanish red wines from Rioja makes them excellent for pairing with a variety of foods. The approachable price points makes these wines of outstanding quality, readily available to enjoy sans guilt.","Garnacha is known as “Grenache” in Spain and “Cannonau” in Sardinia.
85% of all wine grown in Rioja is red.
In Spain, wineries are most commonly known as “bodegas”.
Spain has some of the oldest wine vines in the world and was far less devastated by the deadly fungus phylloxera than other European wine growing regions.
Archaeologists believe that wine has been cultivated and consumed in the region since between 3000 and 4000 BC.",es
98,Argentinian,Malbec (Argentine),"Extremely popular, Argentinian Malbec is an inky, medium-bodied, dry red wine with strong impressions of dark fruits on the nose and palate. This wine tends to have mellower tannins than its French counterpart.

Heavily dependent on where they are grown for variations in flavor, Argentinian Malbec has quickly become a world favorite due to the characteristics that the high altitude climate and soils impart to the fruit.

Originally from France, it is one of the original 5 “Bordeaux” grapes. It is scarcely planted in France anymore.

It has found an amazingly hospitable home in the mountains of Argentina from which some of the world's best selling Malbecs are grown.

Starkly different from French versions in structure and flavor, this wine is a good investment for collectors, as the wine can age for several years before drinking.This wine also pairs very well with any savory red meat dish-- particularly dishes that include spice.","Le jour mondial du Malbec est célébré le 17 avril.
Les cultivateurs investissent des fortunes dans des filets permettant de protéger les vignes de Malbec des tempêtes de la grêle fréquentes en haute altitude.
Des portions importantes de Malbec argentin se développent à des altitudes proches de 1500 mètres (5000 pieds).
Presque tout le Malbec cultivé en France est maintenant utilisé pour le mélange.",ar
212,Southern Rhône,Vin rouge du Rhône Sud,"Le vignoble de la vallée du Rhône est façonné par le cours de sa rivière, le Rhône.  Le climat méditerranéen de la Vallée du Rhône méridionale en fait l’une des plus chaudes régions viticoles françaises.  Les cépages qui s’y développent sont bien adaptés aux étés chauds et humides. Grenache, Syrah, Mourvèdre sont de loin les cépages les plus courants.  La grande majorité des vins du Rhône trouvés sur le marché sont étiquetés comme Côtes du Rhône AOC (Appellation d'Origine Contrôlée). Beaucoup sont excellents et peu coûteux, faisant d’eux un des vins français les plus apprécié par les consommateurs. Ce sont des vins bien charpentés, faciles à boire avec des tanins modérés et des niveaux d'alcool qui se situent entre 14-15%.  Châteauneuf-du-Pape est l'une des régions les plus connues de la Vallée du Rhône méridionale. Ces vins peuvent atteindre des prix assez élevés mais la qualité est généralement exceptionnelle.  Le Grenache est de loin le cépage dominant pour le Châteauneuf-du-Pape, ce qui donne des notes de fruits rouges bien murs ainsi que des saveurs de terre, de cuir, d'épices et d'herbes séchées.  La vallée du Rhône méridionale produit également des vins blancs, mais en beaucoup plus petite portion, typiquement ceux-ci sont fabriqués à partir de Marsanne, Roussanne et Viognier. On trouve également du rosé. Un des plus connu, le Tavel avec des notes légèrement épicées et sa jolie teinte rose saumon.","Les vignobles Stony sont communs dans l'ensemble du Rhône Sud, en particulier à Châteauneuf-du-Pape, où les vignobles sont parsemés de grosses pierres, rondes appelées «galets».
Les ""Goblets"" ou vignes de tête formés sont également fréquents au Sud du Rhône, ceux-ci ressemblent des noeuds, creux de main, et les vignes n'ont pas de système de palissage formel.
GSM est un terme utilisé pour décrire des mélanges de vins rouges de Grenache, Syrah et Mourvèdre.
A Châteauneuf-du-Pape, le Grenache est généralement fermenté et vieilli dans des cuves en béton, plutôt que dans des barils. Les vins de cette région donnent très peu de chêne.",fr
19,Bordeaux,Vin rouge de Bordeaux,"Bordeaux bénéficie d'un climat marin agréable, avec un temps doux et peu de saisons sèches. Les Bordeaux Rouges ont tendance à être plus faible en alcool et plus léger dans le corps.

Au niveau du style, ils présentent des saveurs plus nuancées et moins de fruits au palais. Raffiné et élégant, ils se marient bien avec les viandes de gibier, d'agneau rôti, ou les ragoûts de boeuf.

Bordeaux est la région la plus grande de France en production de vin. Elle est divisé en deux parties principales — La rive gauche et la rive droite. Les deux se trouvent au cœur de l'estuaire de la Gironde et sont en outre divisé par ses affluents, la Garonne et la Dordogne.

Alors que la rive droite produit des mélanges qui sont principalement dominant Merlot, la rive gauche produit des mélanges qui sont principalement dominant en Cabernet Sauvignon.

Les Bordeaux rouges sont réalisés avec le terroir (si vous aimez les vins français, vous entendrez beaucoup ce terme ). Le terroir est un moyen précis de définir une zone viticole en se basant sur ses terres, le climat et les connaissance collective des générations passées qui ont travaillé les terres.

Quand vous achetez du Bordeaux rouge, gardez cela en tête, les vins Français sont plus basés sur la région et la composition que les différents cépages utilisés En fait, vous trouverez rarement les pourcentages de la composition sur l'étiquette.

Collectivement, Bordeaux produit 700 millions de bouteilles de vin dans une année moyenne! Alors que certains des vins les plus chers du monde viennent de Bordeaux, la plupart sont bus tout les jours comme des vins de table abordables.","Les Britanniques appellent la composition des Bordeaux rouges des “Claret”.
Château est un terme commun pour un producteur de vin Français.
Plusieurs blancs secs et doux peuvent être trouvés à Bordeaux, généralement, ils sont fabriqués à partir de Sauvignon Blanc, Sémillon et parfois de la Muscadelle 
Bordeaux est depuis longtemps une région qui produit du vin: Les premières vignes ont été plantées dans la région au cours du premier siècle par les Romains.
Le phylloxéra a anéanti la plupart des vignes de Bordeaux à la fin du 19ème siècle. Des vignes ont été progressivement replantées avec des racines plus résistante au phylloxera.",fr
180,Spanish,Ribera Del Duero (Espagne),"Rioja may be the most famous region in Spain, but Ribera del Duero is no slouch. These classic wines are made mostly from the grape Tempranillo.

Ribera del Duero wines are known for being strong, dark-colored wines filled with dark fruit, tobacco and vanilla flavors.

The sensual wines of Ribera del Duero are dark, brooding, and exciting. They are famous for taking the traditional Spanish grape Tempranillo and blending it with Bordeaux grapes Cabernet Sauvignon and Merlot. This practice makes wines that are strong, dark and beautiful.

This specific grape blend makes these wines very delicious, but their popularity slipped drastically in the 1970s. Extremely long barrel aging and old winemaking practices made the wines extremely inconsistent. Even bottles in the same vintage could be very different.

Now, with modern winemaking practices and attention to detail these wines are becoming as consistently incredible as they should be!","In Ribera del Duero, the grape Tempranillo is called Tinto Fino.
Vega Sicilia in Ribera del Duero has historically been Spain's most expensive wine.
The DO classification for Ribera del Duero was created in 1982.
Ribera del Duero translates to “alongside the Duero River”, which is apt because the Duero River runs through it.",es
81,Portuguese,Douro rouge (Portugal),"Les vins rouges du Douro vont de légers et fruités à luxuriants et lisses voir à sombres et denses avec des saveurs de fruits noirs matures, à base de plantes et de schistes.

Les vins sont souvent de couleur violette en raison de l'épaississement des peaux due à l'intense la chaleur estivale de la région.

La plupart des meilleurs rouges produits dans la région proviennent des plus grandes maisons productrices de Porto, où les compétences des vignerons remontent à des générations. Les vins ont tendance à être intéressants financièrement pour le moment, mais les coûts augmentent lentement en raison des incroyables mélanges provenant de la région.

La première fois que l'on voit la région du Douro, on se demande toujours, comment peut on produire du vin dans un terrain aussi accidenté. C'est aussi une région incroyablement belle, avec des coteaux couverts de vignobles en terrasse. La plupart des grands vignerons ont également commencé à convertir leurs propriétés en destinations touristiques et en hôtels à vin.

Les raisins utilisés comprennent les Touriga Francesa, Tinta Roriz, Touriga Nacional et Tinta Barroca. Les vignobles plus anciens contiennent encore de nombreuses variétés de vignes moins utilisées, ce qui rend leurs rendements annuels moins prévisibles, mais qui réserve des surprises inattendues donnant des vins uniques et complexes.","La vallée du Douro est la maison du vin de Porto.
Il existe des preuves dès le 3ème siècle d'après J.-C. de la viticulture dans la région.
Les températures dans la vallée du Douro atteignent souvent plus de 40 C° pendant les mois d'été. Cela donne une couleur encre aux vins rouges, dont la peau est plus épaisse que les raisins des climats plus doux.",pt
202,Nouvelle-Zélande,Sauvignon Blanc (Nouvelle-Zélande),"Sauvignon Blanc is the flagship varietal of New Zealand, and is typically a very crisp aromatic wine with notes of grapefruit, tropical fruit and cut grass.

The much-lauded white wines of New Zealand tend to be slightly sweeter than those from Bordeaux and the Loire Valley, and are hugely influenced by the growing conditions of the country.

The grape originates from Bordeaux, where it is also known as Pouilly-Fumé, Sancerre, and Graves, and is one of the world's most widely planted grapes.

Marlborough is the most revered wine-producing region in the small country, accounting for 62% of all wine produced in New Zealand.

The New Zealand Sauvignon Blanc scene started popping in 1970s, with the high quality Sauvignon Blancs coming out of Marlborough illustrating the great potential for grape growing in New Zealand.

Sauvignon Blanc tends to be fermented in stainless steel vats, which results in a clean, crisp flavor, and will not show any of that butteriness that is often prevalent in well-oaked Chardonnay for instance.

When it comes to pairing, think white meat, shellfish, and try to accentuate the herbaceous qualities of the wine with ingredients like parsley and cilantro.","The name Sauvignon Blanc translates to “Wild White”.
Napa Valley legend Robert Mondavi pushed to rename Californian Sauvignon Blanc “Fume Blanc”.
New Zealand is well-known for its Sauvignon Blanc, but is gaining a reputation for excellent Pinot Noir.
A commonly used descriptor for Sauvignon Blanc is “cat pee”!",nz
3,Italian,Amarone (Italie),"L'Amarone della Valpolicella est un vin rouge italien riche et sec de la région de Vénétie. Il est principalement issu du cépage corvina. L'Amarone se caractérise par des saveurs mûres et corsées.

Immédiatement après avoir été récolté, le raisin est mis à sécher à l'air libre. Cette technique, appelée « appassimento » (ou passerillage), permet de concentrer les sucres et les saveurs du raisin pour produire un vin distinctif et corsé, bien adapté au vieillissement.

On dit souvent que vous pouvez « oublier » un Amarone dans votre cave à vin sans vous en soucier. Même les vins Amarone ordinaires peuvent être vieillis pendant 10 à 15 ans. Selon le millésime et la technique de vieillissement, les vins de qualité exceptionnelle peuvent être dégustés jusqu'à 30 à 50 ans après leur mise en bouteille !

Dans le domaine du vin, le temps c'est de l'argent. Le processus de vieillissement, le travail manuel et les vignobles d'exception dont il est issu font de l'Amarone un vin assez onéreux. Généralement, une bouteille de ce vin emblématique est vendue à partir de 50 à 60 dollars, mais son prix peut atteindre des sommets.

Malgré son statut d'icône, l'Amarone n'a reçu l'appellation DOCG (équivalent de l'AOP) qu'en 2009.

En raison de son caractère aromatique puissant, de sa nature robuste et de son degré d'alcool élevé (14 % minimum), l'Amarone se marie de préférence avec des plats aux saveurs très prononcées.","En raison du processus de séchage, l'Amarone nécessite au moins le double de la quantité de raisins pour produire une seule bouteille de vin.
L'Amarone a été inventé par accident au début du 20ème siècle lorsqu'un fût de Recioto, un vin sucré italien, a fermenté plus longtemps que prévu.
En italien, « Amarone » signifie littéralement « le grand amer », ce qui le distingue du vin doux auquel il doit son origine.
Après la production, beaucoup de vignerons utilisent les lies de l'Amarone pour donner plus de profondeur aux vins habituels de Valpolicella, ce qui donne le Valpolicella Ripasso.
Le processus de séchage a été fait traditionnellement sur des nattes de paille. Cependant, c'est un procédé très contrôlé afin de réduire le risque de contamination bactérienne ou fongique.",it
9,Italian,Bolgheri (Italie),"Bolgheri is a wine producing region in Tuscany that produces “Super Tuscan” wines that are known for blending international varieties such as Cabernet Sauvignon, Merlot, Cabernet Franc, and Syrah with the local grape Sangiovese.

Super Tuscans overall, including Bolgheri, are concentrated wines with ripe berry flavours, firm tannins and lasting finishes. Plum, cassis, licorice and pepper are also familiar flavour profiles found in this wine style.

The principal grapes of the region are mainly the Bordeaux varieties, Cabernet Sauvignon, Merlot, and Cabernet Franc which can constitute up to 100% of the wine, as well as Sangiovese and Syrah at a maximum of 50%. Other red varieties can represent up to 30%. Red Bolgheri are known to be premium full-bodied wines that are suited to ageing.

The wines are well received both in Italy and abroad, but like many wines from this region, they often come with a heftier price tag.

Although the area was previously known to produce inexpensive, bulk wines, it was revitalized in the mid-20th Century by a Tuscan noble, Marquis Mario Incisa della Rocchetta, who planted Cabernet Sauvignon in his vineyard. The wines have been gaining in popularity ever since.

The region has maintained an aristocratic feel, with the area situated around a picturesque castle in the small town for which the region got its name.","In 1983, Bolgheri achieved DOC status.
La zone DOC Bolgheri s'est rapidement élargie au cours des dix dernières années.
The first Bolgheri wines were exclusively produced for family consumption by the Marquis Mario Incisa della Rocchetta.
Le Bolgheri Rosso doit vieillir un minimum de 10 mois et le Bolgheri Superiore doit vieillir un minimum de 24 mois.",it
69,Italian,Chianti (Italie),"The most commonly consumed wine in Italy, and interestingly, the most commonly consumed Italian wine in the world, Chianti is emblematic of what Italy means to the world of wine.

Fermented primarily from Sangiovese, fresh cherry,  strawberries, and red plum pleasure the senses when enjoying this wine.

Winemakers have spent the last couple of decades trying to change the old image of Chianti: Wine bottles in wicker basket, interestingly also called fiascoes. They've done so by  by producing very nice wines through state of the art growing and fermentation techniques.

Chianti is a red wine that comes from Tuscany, but can contain small amounts of white grapes during blending. This is not the case with Chianti Classico, which must be solely made from red Sangiovese grapes.

Chianti is not considered to age well, and loses steam quickly.  Find the youngest bottle you can to get the most out of its vibrance.

This wine is versatile and its high acidity allows it to be eaten with a wide range of foods.  Enjoy Chianti best with fast food, pizza, red pasta, and salami sandwiches.","Le Chianti remonte au 13ème siècle. Le premier reçu de mélange a été écrit dans les années 1870.  La formule exacte utilisée aujourd'hui a été établie en 1967.
La Belle et le Clochard ont dégusté un dîner de spaghetti éclairé par une bougie qui brûlait dans une bouteille de Chianti vide.
Hannibal Lector a raison, le Chianti va très bien avec les fèves cuites.",it
