id,score_normalized,reviewed_at,vintage_id
3505777,100,2020-03-27T00:00:00Z,14201617
3505778,93,2015-01-01T00:00:00Z,14201617
3005399,90,2018-06-01T00:00:00Z,150296971
3506582,91,2020-05-07T00:00:00Z,150296971
3506583,92,2015-01-01T00:00:00Z,150296971
1969143,95,2017-06-15T00:00:00Z,164942685
3118490,97,2018-08-31T00:00:00Z,164942685
3122852,95,2018-08-31T00:00:00Z,164942685
3126332,97,2018-08-31T00:00:00Z,164942685
1811174,91,2016-12-30T00:00:00Z,14152059
3225621,91,2018-10-31T00:00:00Z,14152059
3339259,92,2019-02-22T00:00:00Z,14152059
3339260,90,2014-01-01T00:00:00Z,14152059
3339261,90,2019-02-22T00:00:00Z,14152059
3339480,90,2019-03-04T00:00:00Z,14152059
3339481,86,2019-03-04T00:00:00Z,14152059
1497155,89,2017-08-10T00:00:00Z,4418048
3224828,92,2018-10-29T00:00:00Z,87594828
3506440,93,2020-05-01T00:00:00Z,87594828
3506520,92,2020-05-05T00:00:00Z,87594828
3117569,89,2018-08-31T00:00:00Z,17946025
1812057,86,2016-10-28T00:00:00Z,14335854
1857636,89,2017-10-31T00:00:00Z,14384714
3012594,90,2018-04-01T00:00:00Z,14384714
1808070,85,2016-12-30T00:00:00Z,85635087
1964874,91,2016-09-28T00:00:00Z,85635087
2697286,95,2016-11-01T00:00:00Z,85635087
2792897,90,2017-10-01T00:00:00Z,85635087
3195922,94,2016-11-06T00:00:00Z,85635087
3137197,97,2018-09-06T00:00:00Z,85559438
3448228,97,2018-09-06T00:00:00Z,85559438
3491902,97,2019-06-01T00:00:00Z,85559438
3491903,97,2019-06-16T00:00:00Z,85559438
3493988,97,2019-05-31T00:00:00Z,85559438
3498137,97,2019-08-29T00:00:00Z,85559438
3502636,98,2019-09-08T00:00:00Z,85559438
3502685,98,2019-09-11T00:00:00Z,85559438
3502686,96,2014-01-01T00:00:00Z,85559438
3503030,98,2019-03-06T00:00:00Z,85559438
3505558,97,2020-03-13T00:00:00Z,85559438
3506514,99,2020-05-05T00:00:00Z,85559438
3506515,97,2020-05-05T00:00:00Z,85559438
3447599,94,2019-03-25T00:00:00Z,2130088
3447600,93,2014-01-01T00:00:00Z,2130088
3448221,92,2019-04-30T00:00:00Z,2130088
219031,94,2014-10-31T00:00:00Z,1282334
1487964,92,2014-06-09T00:00:00Z,1282334
1868324,94,2017-04-28T00:00:00Z,1282334
1954223,94,2014-11-25T00:00:00Z,1282334
3013968,93,2015-04-01T00:00:00Z,1282334
3313922,91,2019-01-22T00:00:00Z,86150642
3313923,90,2014-01-01T00:00:00Z,86150642
3316290,90,2019-01-28T00:00:00Z,86150642
3498267,91,2019-09-03T00:00:00Z,86150642
3502988,75,2019-10-03T00:00:00Z,86150642
1522493,94,2017-09-15T00:00:00Z,4033840
1784016,89,2015-06-29T00:00:00Z,4033840
1867741,93,2017-04-28T00:00:00Z,4033840
2552950,87,2017-11-17T00:00:00Z,4033840
2990232,95,2018-06-19T00:00:00Z,4033840
2990233,94,2018-06-19T00:00:00Z,4033840
3012951,94,2018-04-01T00:00:00Z,4033840
2528642,99,2017-12-01T00:00:00Z,4203695
2671820,94,2018-01-31T00:00:00Z,4203695
3028938,96,2018-06-01T00:00:00Z,4203695
3506611,92,2020-05-08T00:00:00Z,91011696
3503532,92,2019-11-07T00:00:00Z,14317603
3504262,95,2019-12-11T00:00:00Z,14317603
3494662,93,2019-06-28T00:00:00Z,14513009
3496828,94,2019-08-06T00:00:00Z,14513009
3496829,92,2014-01-01T00:00:00Z,14513009
3496830,93,2019-08-06T00:00:00Z,14513009
3496831,90,2014-01-01T00:00:00Z,14513009
3505794,95,2020-03-28T00:00:00Z,14513009
3519637,93,2020-08-05T00:00:00Z,14513009
3519638,91,2020-08-06T00:00:00Z,14513009
3137562,91,2018-09-06T00:00:00Z,14242522
3305784,90,2018-07-17T00:00:00Z,14242522
3503535,94,2019-04-30T00:00:00Z,14242522
3495346,95,2019-06-28T00:00:00Z,5620568
3503871,96,2019-07-26T00:00:00Z,5620568
3507012,95,2020-06-04T00:00:00Z,5620568
3507013,96,2020-06-04T00:00:00Z,5620568
3507014,93,2015-01-01T00:00:00Z,5620568
3507015,95,2015-01-01T00:00:00Z,5620568
3507016,97,2015-01-01T00:00:00Z,5620568
3507017,94,2015-01-01T00:00:00Z,5620568
3507030,93,2020-06-04T00:00:00Z,5620568
3507035,95,2020-06-05T00:00:00Z,5620568
3507036,93,2015-01-01T00:00:00Z,5620568
3507050,95,2020-06-08T00:00:00Z,5620568
3507051,94,2020-06-08T00:00:00Z,5620568
3507052,97,2020-06-08T00:00:00Z,5620568
3507053,94,2020-06-08T00:00:00Z,5620568
1522492,90,2017-09-15T00:00:00Z,14763417
1866482,88,2017-04-28T00:00:00Z,14763417
3231947,3,2018-12-12T00:00:00Z,14211755
3231948,93,2018-10-31T00:00:00Z,14211755
3231949,87,2018-12-12T00:00:00Z,14211755
3231950,92,2018-12-12T00:00:00Z,14211755
3231951,93,2018-12-12T00:00:00Z,14211755
3305763,91,2018-07-17T00:00:00Z,14211755
3314045,90,2019-01-23T00:00:00Z,14211755
3328857,92,2019-02-12T00:00:00Z,14211755
1792793,92,2015-10-30T00:00:00Z,2851231
2528577,92,2017-12-01T00:00:00Z,15768459
3117570,92,2018-08-31T00:00:00Z,15768459
3310588,90,2019-01-08T00:00:00Z,92316257
3310589,92,2014-01-01T00:00:00Z,92316257
1573405,88,2014-07-24T00:00:00Z,1920864
1780846,89,2014-10-31T00:00:00Z,1920864
3022881,88,2016-04-01T00:00:00Z,1920864
3149723,93,2018-09-30T00:00:00Z,156114360
3447856,91,2018-10-08T00:00:00Z,156114360
3488824,92,2019-03-29T00:00:00Z,156114360
1573591,84,2017-07-24T00:00:00Z,1719364
1870958,93,2017-02-28T00:00:00Z,1719364
3022796,92,2018-04-01T00:00:00Z,1719364
2668985,91,2017-12-29T00:00:00Z,91266628
3503715,92,2019-11-18T00:00:00Z,91266628
3503716,90,2014-01-01T00:00:00Z,91266628
3503841,90,2019-11-21T00:00:00Z,91266628
1486596,90,2016-09-08T00:00:00Z,4176483
1824345,88,2016-07-29T00:00:00Z,4176483
3503473,92,2018-02-28T00:00:00Z,14897931
3126303,92,2018-08-31T00:00:00Z,99339024
3331205,91,2019-01-31T00:00:00Z,4506651
3504358,92,2019-12-16T00:00:00Z,4506651
1545510,89,2016-07-19T00:00:00Z,4454098
1820256,90,2016-10-28T00:00:00Z,4454098
3120014,88,2018-08-31T00:00:00Z,6185296
3494424,90,2019-06-28T00:00:00Z,14516822
206354,95,2014-04-30T00:00:00Z,1369724
3503518,92,2019-11-07T00:00:00Z,150395474
3516427,90,2020-07-16T00:00:00Z,150395474
1545491,87,2016-07-19T00:00:00Z,4280776
1808970,87,2016-12-30T00:00:00Z,4280776
3123487,95,2018-08-31T00:00:00Z,107074474
1854054,92,2014-10-31T00:00:00Z,2695065
3112201,91,2018-08-22T00:00:00Z,2695065
3506336,91,2020-04-29T00:00:00Z,159322049
