id,name,wines_count
57,Mazuelo,6468
19,Tempranillo,142558
81,Graciano,10215
9,Malbec,179553
42,Petit Verdot,68232
3,Cabernet Franc,219118
10,Merlot,461197
2,Cabernet Sauvignon,658524
1,Shiraz/Syrah,445177
8,Grenache,187673
22,Mourvedre,80271
16,Sangiovese,103884
69,Tinta Roriz,32331
71,Tinta Barroca,12287
68,Touriga Franca,26679
127,Aragonez,24637
67,Touriga Nacional,67019
14,Pinot Noir,462117
17,Sauvignon Blanc,234207
46,Molinara,10038
45,Rondinella,16426
43,Corvina,18112
169,Tinto Fino,2460
271,Corvina Veronese,3042
226,Corvinone,4749
152,Moscatel de Alejandría,3037
7,Gewürztraminer,48397
142,Garnacha,47485
118,Verdejo,13885
15,Riesling,217074
1552,Trebbiano Giallo,153
39,Malvasia,24692
55,Trebbiano,15702
34,Pinot Grigio,40683
36,Pinot Blanc,40675
58,Montepulciano,21991
101,Cannonau,3485
75,Cinsault,37608
135,Cariñena,5342
144,Garnacha Tinta,3655
51,Carménère,41738
5,Chardonnay,487962
243,Oseleta,1150
41,Carignan,46559
12,Nebbiolo,46789
1381,Prior,84
577,Rossignola,156
63,Prugnolo Gentile,557
579,Samsó,2165
97,Aglianico,12284
31,Barbera,42057
1042,Gros Manseng,3864
175,Ugni blanc,6793
218,Baco Noir,1163
76,Clairette,12825
167,Tinta de toro,3164
132,Bourboulenc,6518
21,Zinfandel,57981
245,Picpoul Blanc,2849
197,Picardan,357
1539,Terret,945
23,Roussanne,30049
677,Vaccareze,368
678,Muscardin,495
32,Counoise,2863
20,Viognier,71094
231,Greco,2905
80,Gamay,46969
18,Sémillon,53095
92,Primitivo,27643
260,Malvasia Nera,3136
40,Alicante Bouschet,22476
25,Petite Sirah,26990
64,Canaiolo Nero,4300
102,Falanghina,5228
385,Mencia,7091
11,Muscat Blanc,25261
190,Frappato,1256
108,Nero d'Avola,16388
48,Tannat,23615
96,Viura,10758
49,Albariño,12167
149,Loureiro,5396
282,Nerello Mascalese,4039
289,Tintilia,461
1156,Listan Negro,1295
50,Aligoté,7798
106,Grillo,5464
254,Tinta del Pais,1661
324,Caladoc,1231
386,Nerello Cappuccio,1361
62,Pinotage,14296
215,Zibibbo,1834
1739,Moscatel,2339
100,Negroamaro,12239
1670,Melon de Bourgogne,3732
24,Marsanne,20322
6,Chenin Blanc,47138
103,Fiano,6062
93,Torrontés,13018
550,Bovale,447
307,Albillo Mayor,351
131,Bobal,4976
56,Grenache Blanc,30015
119,Vermentino,23933
89,Muscadelle,8176
151,Mataro,3188
143,Garnacha Blanca,4911
414,Picapoll Blanco,484
47,Croatina,3399
270,Corvina Grossa,167
13,Pinot Gris,57646
104,Garganega,7392
299,Spätburgunder,40540
54,Grechetto,3186
199,Pinot Nero,12856
246,Piedirosso,1527
225,Coda di Volpe Biancha,740
562,Marselan,4064
