id,name,url,payments
23215,Chez le Caviste,http://www.chezlecaviste.com/fr/conditions-generales-utilisation.php,['legacy_payments']
6688,Millesima - France,https://www.millesima.fr/cgv.html#mentions,"['card_payments', 'platform_payments']"
2682,Provino,,[]
22706,Espagne Gourmet,,[]
1316,Lavinia.es,,[]
3440,Majestic Wine Calais,,[]
17595,Aporvino,,[]
28930,Vinitus,,[]
1216,Gourmet Hunters,,[]
17067,WorldShop Lufthansa,,[]
737,Cutanda,,[]
24476,Bullmet,,[]
3240,Ardoa On-Line,,[]
6200,Voyageurs du Vin,,[]
416,Les Passionnes du Vin,,[]
2004,World Wines Webstore,,[]
19432,Ovinia,https://www.ovinia.fr/contact,"['card_payments', 'platform_payments']"
1112,FinestWine,,[]
523,Silkes Weinkeller GmbH,,[]
1171,Belgium Wine Watchers,,[]
25292,Finewineshop,,[]
3188,La Cave de L'ill,https://www.lacavedelill.fr/cgv.html,"['card_payments', 'platform_payments']"
23010,Vins et Saisons,,[]
7755,House of Wine,,[]
3813,La Route des Vins,https://www.laroutedesvins.com/content/4-conditions-generales-de-vente,"['card_payments', 'platform_payments']"
3687,Lilovino,https://www.lilleauxvins.com/content/3-conditions-generales-de-ventes,"['card_payments', 'platform_payments']"
1936,Vinsetchampagnes.fr,,[]
2432,Odyssee-Vins,,[]
627,Auchan.fr,,[]
3228,Mes Vins Cacher,,[]
4647,Wyyne.com,,[]
22853,Le Verre Canaille,https://www.leverrecanaille.com/content/3-conditions-generales-de-ventes,"['card_payments', 'platform_payments']"
633,CHATEAUNET,,['legacy_payments']
5532,12Bouteilles.com,https://www.12bouteilles.com/fr/content/3-conditions-generales-de-ventes,"['card_payments', 'legacy_payments', 'platform_payments']"
16999,Produits Italiens,,[]
753,ViniTop.it,,[]
18559,8Wines,,[]
3865,Enoteca Quadrifoglio,,[]
21355,Nettari Etruschi,,[]
1463,LUNAS Delikatessen,,[]
232,Eton Vintners,,[]
20131,Kafer,,[]
595,La Vinotheque de Bordeaux,https://vinotheque-bordeaux.com/content/8-conditions-generales-de-ventes,"['card_payments', 'platform_payments']"
1299,Weinhandelshaus Scholzen,,[]
2054,Clos des Millesimes,https://www.closdesmillesimes.com/14--conditions-generales-de-vente.html,"['card_payments', 'platform_payments']"
2405,Diogene Atmosphere,,[]
25001,Tannico - Switzerland,,[]
19112,Vio-Vino.De,,[]
3305,Art du Vin,,[]
2145,Chai No. 5,,[]
2090,Solo Vino Weinhandel,,[]
11878,GVF Grands Vins Francais,,[]
1301,Enovinho,,[]
197,iDealwine.com,,[]
3297,Maison Dubecq,,[]
460,Hennings Wine Merchants,,[]
2204,Vinorema,,[]
1821,Cava & Wein,,[]
2225,Wein im FachWerk,,[]
3201,Weingarten Eden GmbH & Co. KG,,[]
22861,Mon Copain Caviste,,[]
8705,La Maison des Vins Cassis,,[]
28293,Seulement Produits Italiens,,[]
2582,Wine Beer Supermarket,,[]
2698,MyGoodWines.com,,[]
1557,Wineandco,,[]
17501,Vinha.co.uk,,[]
1561,VinoMi,,[]
23009,Wine in Black SAS - fr,,[]
2585,Solvino,,[]
1757,Enoteca Vanni Giulietta,,[]
