vintage_id,merchant_id,price,currency,bottles_in_stock,bottles_sold,message,bottle_volume_ml
14201617,23215,19.5,EUR,,90.0,,750
14201617,6688,23.33,EUR,612.0,1.0,"Prix par bouteille, caisse de 6 bouteilles - Autres tailles disponibles",750
14201617,2682,16.9,EUR,,,,750
14201617,22706,24.9,EUR,,,,750
14201617,1316,14.9,EUR,,,,750
14201617,3440,12.431148361922983,EUR,,,,750
14201617,17595,13.74,EUR,,,,750
14201617,28930,13.95,EUR,,,,750
14201617,1216,14.45,EUR,,,,750
14201617,1216,9.1,EUR,,,"Prix par 1/2 bouteille (37,5 cl)",375
14201617,1216,33.35,EUR,,,"Prix par Magnum (1,5 l)",1500
14201617,17067,14.46,EUR,,,"Prix par bouteille, caisse de 6 bouteilles",750
14201617,737,14.9,EUR,,,,750
14201617,24476,15.3,EUR,,,,750
14201617,24476,9.45,EUR,,,"Prix par 1/2 bouteille (37,5 cl)",375
14201617,3240,15.59,EUR,,,,750
150296971,6200,21.9,EUR,,,,750
150296971,2682,15.9,EUR,,,,750
150296971,416,17.9,EUR,,,,750
150296971,3440,9.94269685783831,EUR,,,,750
150296971,2004,14.25,EUR,,,,750
150296971,2004,8.2,EUR,,,"Prix par 1/2 bouteille (37,5 cl)",375
150296971,24476,16.45,EUR,,,,750
164942685,19432,168.25,EUR,576.0,,"Prix par bouteille, caisse de 12 bouteilles",750
164942685,416,190.0,EUR,,,,750
164942685,1112,234.6,EUR,,,"Prix par bouteille, caisse de 6 bouteilles",750
164942685,523,139.0,EUR,,,,750
164942685,1316,190.0,EUR,,,,750
164942685,1171,114.35,EUR,,,,750
164942685,25292,159.0,EUR,,,,750
14152059,3188,9.85,EUR,446.0,141.0, - Autres tailles disponibles,750
14152059,19432,16.0,EUR,2.0,,,750
14152059,23010,10.5,EUR,,,Prix pour 12 bouteilles ou plus,750
14152059,7755,14.8,EUR,,,,750
85846548,23215,14.6,EUR,,1.0,,750
85846548,3813,22.9,EUR,,,,750
85846548,3687,25.84,EUR,192.0,,"Prix par magnum, caisse de 6 bouteilles",1500
85846548,1936,12.9,EUR,,,,750
85846548,2432,16.9,EUR,,,,750
85846548,627,18.59,EUR,,,,750
85846548,3228,18.99,EUR,,,,750
85846548,4647,19.5,EUR,,,,750
85846548,17067,9.59,EUR,,,"Prix par bouteille, caisse de 6 bouteilles",750
4418048,6688,17.5,EUR,948.0,5.0,"Prix par bouteille, caisse de 12 bouteilles",750
156141171,22853,11.5,EUR,,,,750
156141171,3687,13.55,EUR,288.0,1.0,"Prix par bouteille, caisse de 6 bouteilles",750
87594828,6688,85.0,EUR,720.0,,"Prix par bouteille, caisse de 12 bouteilles",750
17946025,6688,20.83,EUR,576.0,,"Prix par bouteille, caisse de 6 bouteilles",750
14335854,19432,15.0,EUR,41.0,6.0,,750
14384714,19432,23.83,EUR,576.0,4.0,"Prix par bouteille, caisse de 12 bouteilles",750
14384714,633,18.900000000000002,EUR,,,Prix pour 6 bouteilles ou plus,750
14384714,1316,55.0,EUR,,,"Prix par Magnum (1,5 l)",1500
85635087,5532,29.88,EUR,,,Prix pour 12 bouteilles ou plus. (Prix unitaire pour le bouteille : €32.60),750
85559438,6688,115.0,EUR,36.0,1.0,"Prix par bouteille, caisse de 6 bouteilles - Autres tailles disponibles",750
85559438,5532,130.0,EUR,,3.0,,750
85559438,3687,131.25,EUR,36.0,,"Prix par bouteille, caisse de 6 bouteilles",750
85559438,6200,160.0,EUR,,,,750
85559438,16999,129.0,EUR,,,,750
85559438,753,89.0,EUR,,,,750
85559438,18559,109.73,EUR,,,,750
85559438,7755,125.6,EUR,,,,750
