id,name,year,wine_id,has_valid_ratings,rating_status,ratings_count,ratings_average,reviews_count
1906584,Marqués de Riscal Rioja Reserva,U.V.,1163903,True,Normal,142572,4.0,815
162893740,Marqués de Riscal Rioja Reserva 2020,2020,1163903,False,BelowThreshold,2,0.0,0
159392105,Marqués de Riscal Rioja Reserva 2019,2019,1163903,True,Normal,51,4.0,17
156135225,Marqués de Riscal Rioja Reserva 2018,2018,1163903,True,Normal,230,4.0,66
150317987,Marqués de Riscal Rioja Reserva 2017,2017,1163903,True,Normal,126,4.0,32
84984019,Marqués de Riscal Rioja Reserva 2016,2016,1163903,True,Normal,227,4.1,54
14201617,Marqués de Riscal Rioja Reserva 2015,2015,1163903,True,Normal,12054,4.1,3791
4322127,Marqués de Riscal Rioja Reserva 2014,2014,1163903,True,Normal,20699,4.1,6452
2081539,Marqués de Riscal Rioja Reserva 2013,2013,1163903,True,Normal,18351,4.0,5523
2121634,Marqués de Riscal Rioja Reserva 2012,2012,1163903,True,Normal,14710,4.0,4218
1977740,Marqués de Riscal Rioja Reserva 2011,2011,1163903,True,Normal,17732,4.0,5188
1795736,Marqués de Riscal Rioja Reserva 2010,2010,1163903,True,Normal,9155,3.9,2750
2005388,Marqués de Riscal Rioja Reserva 2009,2009,1163903,True,Normal,12591,3.9,3942
1952759,Marqués de Riscal Rioja Reserva 2008,2008,1163903,True,Normal,9709,3.9,2901
1491772,Marqués de Riscal Rioja Reserva 2007,2007,1163903,True,Normal,8156,3.9,1906
1241474,Marqués de Riscal Rioja Reserva 2006,2006,1163903,True,Normal,4769,4.0,1088
1233202,Marqués de Riscal Rioja Reserva 2005,2005,1163903,True,Normal,4286,4.0,1000
1578401,Marqués de Riscal Rioja Reserva 2004,2004,1163903,True,Normal,1634,4.1,412
1213131,Marqués de Riscal Rioja Reserva 2003,2003,1163903,True,Normal,925,4.0,240
1745124,Marqués de Riscal Rioja Reserva 2002,2002,1163903,True,Normal,401,4.0,111
1377720,Marqués de Riscal Rioja Reserva 2001,2001,1163903,True,Normal,845,4.1,251
1515305,Marqués de Riscal Rioja Reserva 2000,2000,1163903,True,Normal,482,3.9,128
1732552,Marqués de Riscal Rioja Reserva 1999,1999,1163903,True,Normal,225,4.1,62
1328940,Marqués de Riscal Rioja Reserva 1998,1998,1163903,True,Normal,216,4.1,64
2172319,Marqués de Riscal Rioja Reserva 1997,1997,1163903,True,Normal,159,4.1,44
2168588,Marqués de Riscal Rioja Reserva 1996,1996,1163903,True,Normal,195,4.2,60
1424129,Marqués de Riscal Rioja Reserva 1995,1995,1163903,True,Normal,161,4.1,52
1753168,Marqués de Riscal Rioja Reserva 1994,1994,1163903,True,Normal,239,4.3,74
2776955,Marqués de Riscal Rioja Reserva 1993,1993,1163903,True,Normal,86,4.2,30
1551293,Marqués de Riscal Rioja Reserva 1992,1992,1163903,True,Normal,37,4.2,8
2277649,Marqués de Riscal Rioja Reserva 1991,1991,1163903,True,Normal,65,4.1,19
2033548,Marqués de Riscal Rioja Reserva 1990,1990,1163903,True,Normal,84,3.8,25
1785978,Marqués de Riscal Rioja Reserva 1989,1989,1163903,True,Normal,54,3.7,15
1797075,Marqués de Riscal Rioja Reserva 1988,1988,1163903,True,Normal,51,4.3,16
2849895,Marqués de Riscal Rioja Reserva 1987,1987,1163903,True,Normal,40,4.0,17
2334289,Marqués de Riscal Rioja Reserva 1986,1986,1163903,True,Normal,38,3.6,9
2017151,Marqués de Riscal Rioja Reserva 1985,1985,1163903,True,Normal,25,3.9,9
1862460,Marqués de Riscal Rioja Reserva 1984,1984,1163903,True,Normal,29,3.8,10
3103060,Marqués de Riscal Rioja Reserva 1983,1983,1163903,True,Normal,22,4.2,4
2073949,Marqués de Riscal Rioja Reserva 1982,1982,1163903,True,Normal,62,4.0,26
2359933,Marqués de Riscal Rioja Reserva 1981,1981,1163903,True,Normal,56,4.1,21
2438667,Marqués de Riscal Rioja Reserva 1980,1980,1163903,True,Normal,31,4.5,10
1727505,Marqués de Riscal Rioja Reserva 1979,1979,1163903,True,Normal,14,4.7,4
2877847,Marqués de Riscal Rioja Reserva 1978,1978,1163903,True,Normal,22,3.9,13
6585394,Marqués de Riscal Rioja Reserva 1977,1977,1163903,False,BelowThreshold,4,0.0,0
4589929,Marqués de Riscal Rioja Reserva 1976,1976,1163903,True,Normal,19,3.9,7
2222418,Marqués de Riscal Rioja Reserva 1975,1975,1163903,True,Normal,23,4.5,7
4534307,Marqués de Riscal Rioja Reserva 1974,1974,1163903,True,Normal,12,3.8,3
3432437,Marqués de Riscal Rioja Reserva 1973,1973,1163903,True,Normal,16,3.9,5
3374494,Marqués de Riscal Rioja Reserva 1972,1972,1163903,True,Normal,16,4.0,7
4436748,Marqués de Riscal Rioja Reserva 1971,1971,1163903,False,BelowThreshold,9,0.0,2
1917754,Marqués de Riscal Rioja Reserva 1970,1970,1163903,True,Normal,29,4.0,17
5598786,Marqués de Riscal Rioja Reserva 1969,1969,1163903,True,Normal,14,3.9,5
1880561,Marqués de Riscal Rioja Reserva 1968,1968,1163903,True,Normal,18,3.5,11
7105631,Marqués de Riscal Rioja Reserva 1967,1967,1163903,False,BelowThreshold,3,0.0,2
1448124,Marqués de Riscal Rioja Reserva 1966,1966,1163903,False,BelowThreshold,5,0.0,2
6066152,Marqués de Riscal Rioja Reserva 1965,1965,1163903,False,BelowThreshold,4,0.0,3
1351985,Marqués de Riscal Rioja Reserva 1964,1964,1163903,True,Normal,25,4.2,13
4171508,Marqués de Riscal Rioja Reserva 1963,1963,1163903,False,BelowThreshold,8,0.0,1
