vintage_id,name,certified_biodynamic,wine_id,wine_name,type,is_natural,region_id,country,winery_id,rank_percentile_country,rank_percentile_region,rank_percentile_winery,rank_percentile_wine_type,rank_percentile_global,wine_description,alcohol,appelation_id,body_id,acidity_id,awards_number,awards_bronze_number,awards_silver_number,awards_gold_number,awards_excellent_number,awards_platinum_number,awards_remarkable_number,awards_commended_number,ratings_distribution_1,ratings_distribution_2,ratings_distribution_3,ratings_distribution_4,ratings_distribution_5,vintage_rank_percentile_country,vintage_rank_percentile_region,vintage_rank_percentile_winery,vintage_rank_percentile_global,contains_added_sulfites,contains_milk_allergens,contains_egg_allergens,closure,year,median_price
14201617,Marqués de Riscal Rioja Reserva 2015,False,1163903,Rioja Reserva,Red,False,492,Espagne,1837,2.09,3.27,21.88,2.85,2.13,"Cherry-red colour with good robe. Spicy, balsamic aromas of great complexity, with notes of ripe dark berries and light toasted nuances. On the palate it is full and tasty, with good structure and rounded, elegant tannins. The finish is long and fresh, with a slight reminder of the fine oak. ",13.5,190,4,3,0,0,0,0,0,0,0,0,55,182,2202,7868,1747,1.31,1.73,5.38,1.52,True,False,False,cork,2015,23.33
150296971,Catena Malbec 2017,False,1873,Malbec,Red,False,454,Argentine,243362,3.89,4.12,18.52,3.16,2.39,"Dark violet color with deep bluish – black tones. The nose offers ripe, concentrated dark fruit aromas with delicate floral notes and traces of vanilla and mocha. The mouthfeel is rich and lush, with concentrated black cherry and red currant fruit flavors layered with sweet spices, tobacco and a touch of leather.",13.5,98,5,3,0,0,0,0,0,0,0,0,91,161,1948,7616,1897,2.19,2.39,3.14,1.52,True,False,False,,2017,17.9
164942685,Opus One Overture N.V.,False,4848,Overture,Red,False,25,États-Unis,1368,0.41,10.26,100.0,0.19,0.13,"Overture blends five traditional Bordeaux grape varieties and captures the terroir characteristics of each variety grown in different soils. Overture’s third blending aspect – that of marrying multiple vintages – yields a softer, rounder expression than Opus One estate that can be enjoyed upon release.",14.5,290,4,2,0,0,0,0,0,0,0,0,63,83,743,6001,4044,0.55,7.85,30.53,0.18,True,False,False,,,190.0
14152059,E. Guigal Côtes-du-Rhône Rouge 2015,False,7773,Côtes-du-Rhône Rouge,Red,False,429,France,1314,8.85,20.51,73.53,10.09,8.34,"Deep and dark red. Shiny. Fresh fruits with red berries and spices. Full, round and racy. Rounded and smooth tannins. A full-bodied, rich and intensly aromatic wine. Full with a long finish and plenty of elegance and finesse due to the well balanced tannins and fruit.",13.0,212,4,3,0,0,0,0,0,0,0,0,128,457,4800,4411,660,8.4,17.57,37.25,8.75,True,False,False,,2015,10.5
85846548,Mouton Cadet Bordeaux Rouge 2016,False,4113,Bordeaux Rouge,Red,False,383,France,139072,13.02,12.53,37.93,14.59,12.25,"An intense, ruby red colour with purple highlights. The wine has a rich, open nose with attractive aromas of red berry fruit (raspberry, cherry) and strawberry jam accompanied by a touch of menthol. Round and full on the palate, it displays fine balance with an elegant tannic structure and a pleasant range of crisp, fruity flavours enhanced by a touch of liquorice.",13.5,19,4,3,0,0,0,0,0,0,0,0,224,809,4910,3465,727,14.67,13.06,18.26,15.06,True,False,False,,2016,18.59
4418048,Antinori Villa Antinori Rosso 2014,False,1656,Villa Antinori Rosso,Red,False,394,Italie,1252,5.65,8.09,53.95,5.7,4.53,"Marchesi Antinori’s passion for viticulture is expressed through perseverance: their continuous pursuit for quality improvement, even in the smallest details. Research and development is an ongoing process both in the vineyards and in the cellars: selecting new clones of local and international varieties: experimenting with new techniques in the vineyards and vineyard altitudes, new approaches to fermentation and temperature control, experimenting with both traditional and innovative winemaking philosophies, using new types of oak for barrels, barrel size and age, and varying length of aging in the bottle before commercial release.",13.0,292,3,2,0,0,0,0,0,0,0,0,76,302,3420,4829,822,6.74,9.48,32.71,6.17,True,,,,2014,17.5
156141171,Trivento Reserve Malbec 2018,,1135980,Reserve Malbec,Red,False,454,Argentine,4137,14.38,14.76,11.43,11.17,9.28,"Colour: Bright carmine red. 
Aromas: plum and raspberry aroma mingle elegantly with vanilla notes from the oak. 
Palate: well balanced, exhibits sweet tannins and a velvety finish.
",14.0,98,5,3,0,0,0,0,0,0,0,0,106,418,4127,4316,753,10.19,10.68,5.09,8.75,,,,,2018,12.53
87594828,Stag's Leap Wine Cellars ARTEMIS Cabernet Sauvignon 2016,False,1107336,ARTEMIS Cabernet Sauvignon,Red,False,25,États-Unis,3310,0.78,3.99,23.73,0.41,0.27,"The heart of Stag’s Leap Wine Cellars is undoubtedly the estate vineyards and extraordinary care is taken to assure that a wine’s aroma, flavor, and texture convey a sense of place. As the difference between a good wine and a great one is often in the details, our viticultural practices are driven by extreme, even obsessive, attention to detail. Throughout the growing season and all the way through harvest, vines are cared for to achieve their optimum maturity level and ensure the ‘signature’ of the terroir is expressed to its fullest.

The goal is to create wines of classic beauty — wines with balance, complexity and harmony.

From the beginning, the Stag’s Leap Wine Cellars vision has been to create wines that speak to the place from which they come. These goals are realized in our three limited-production Estate-Grown Cabernet Sauvignons – CASK 23, S.L.V. and FAY—which are crafted from vineyards surrounding the winery.

The same classic style of the Estate wines is also expressed in the Napa Valley Collection, which consists of three wines: AVETA Sauvignon Blanc; KARIA Chardonnay and ARTEMIS Cabernet Sauvignon.",13.5,289,5,2,0,0,0,0,0,0,0,0,55,53,567,5172,2837,0.55,2.24,6.58,0.19,True,False,True,,2016,85.0
17946025,Emilio Moro Tinto 2015,,1386686,Tinto,Red,False,405,Espagne,1757,2.18,7.72,72.73,2.91,2.18,"Cherry color, and it offers a great variety of sensations. On the mouth it’s intense and mouth-watering. On the nose, its richness and variety of aromas stand out: wood, black fruits and vanilla.",13.5,180,5,3,1,1,0,0,0,0,0,0,36,111,1610,5688,1120,2.29,7.4,35.78,2.62,,,,,2015,20.83
14335854,Casa Ferreirinha Esteva Douro 2015,,75977,Esteva Douro,Red,False,433,Portugal,37575,16.38,18.82,58.62,10.15,8.39,"Bright red ruby hue. Its bouquet is dominated by lively red fruit (strawberry and cherry), as well
as by balmy notes (cedar and tobacco) and hints of chocolate candy and a floral component of rock-rose. Its complexity arises both from the careful selection of blends from Douro recommended vine varieties and from its evolution in the bottle.",13.0,81,5,3,5,2,1,1,0,0,0,1,48,341,4232,3416,506,15.86,19.06,42.98,11.74,,,,,2015,15.0
