wine_id,grape_id,grapes_share
1163903,19,100.0
1873,9,100.0
4848,10,0.0
4848,2,100.0
4848,3,0.0
4848,42,0.0
4848,9,0.0
7773,1,50.0
7773,22,10.0
7773,8,40.0
4113,10,83.0
4113,2,10.0
4113,3,7.0
1656,1,5.0
1656,10,15.0
1656,16,60.0
1656,2,20.0
1135980,9,100.0
1107336,10,6.0
1107336,2,91.0
1107336,42,2.0
1107336,9,1.0
1386686,19,100.0
75977,67,0.0
75977,68,0.0
75977,69,0.0
75977,71,0.0
1480684,10,67.0
1480684,16,13.0
1480684,2,20.0
18978,17,100.0
1652,16,80.0
1652,2,13.0
1652,3,7.0
21929,43,70.0
21929,45,25.0
21929,46,5.0
5078,2,100.0
1655,16,0.0
5078,2,85.0
5078,3,15.0
77171,169,100.0
1306,1,60.0
1306,2,40.0
1173185,1,12.0
1173185,10,18.0
1173185,2,12.0
1173185,3,1.0
1173185,42,3.0
1173185,9,54.0
7103,226,15.0
7103,271,50.0
7103,45,30.0
7103,46,5.0
2628,7,100.0
10998,142,2.0
10998,19,80.0
10998,57,6.0
10998,81,12.0
1143960,16,100.0
1302651,19,100.0
1302651,8,0.0
5076,16,30.0
5076,2,70.0
1654,16,90.0
1654,2,10.0
22448,10,32.0
22448,2,36.0
22448,3,20.0
22448,42,12.0
11604,19,100.0
3129085,19,15.0
3129085,2,85.0
1716434,118,100.0
59894,15,0.0
59894,1552,0.0
59894,34,0.0
59894,39,0.0
1654,16,100.0
54214,16,100.0
5076,2,100.0
1849316,19,100.0
1633194,58,100.0
779452,1,8.0
779452,101,80.0
779452,22,7.0
22917,16,100.0
1385210,135,35.0
1385210,144,65.0
22448,10,0.0
22448,2,0.0
22448,42,0.0
1135271,19,100.0
49644,19,100.0
1868,2,75.0
1868,9,25.0
1655,1,5.0
1655,10,5.0
1655,16,90.0
1655,16,100.0
1129282,19,100.0
22448,10,100.0
1175427,10,5.0
1175427,19,95.0
4086,10,1.0
4086,2,72.0
4086,3,6.0
4086,42,2.0
4086,51,19.0
1135140,5,100.0
8195,226,90.0
8195,243,5.0
8195,43,0.0
8195,45,5.0
3069,2,100.0
1759011,19,100.0
79262,10,18.0
79262,2,79.0
79262,3,2.0
79262,42,1.0
77171,19,100.0
1135982,19,100.0
22447,10,32.0
22447,2,34.0
22447,3,20.0
22447,42,14.0
1659,1,15.0
1659,10,30.0
1659,2,55.0
22447,10,22.0
22447,2,60.0
22447,3,14.0
22447,42,4.0
1159145,1,5.0
1159145,41,20.0
1159145,8,75.0
19265,12,100.0
2656,135,0.0
2656,144,0.0
1136029,43,0.0
1136029,45,0.0
1136029,577,0.0
83596,10,0.0
83596,16,0.0
5080,10,40.0
5080,2,60.0
1656,16,55.0
1656,2,25.0
1658,2,100.0
4086,3,8.0
4086,51,20.0
1124242,1,20.0
1124242,22,20.0
1124242,8,60.0
1653,16,100.0
79273,2,100.0
22447,10,0.0
22447,2,0.0
22447,3,0.0
1166103,16,100.0
9119,142,20.0
9119,19,70.0
9119,57,0.0
9119,81,10.0
1132696,19,100.0
12379,10,10.0
12379,16,80.0
12379,2,10.0
20677,1,0.0
20677,41,0.0
20677,8,0.0
2656,1,0.0
2656,41,0.0
2656,8,0.0
24056,2,100.0
16578,10,7.0
16578,2,86.0
16578,3,2.0
16578,42,3.0
16578,9,2.0
1244,1,100.0
1669,10,0.0
1669,16,0.0
14362,10,0.0
14362,2,0.0
14362,3,0.0
14362,42,0.0
22447,2,100.0
63764,15,100.0
86362,2,100.0
67054,135,100.0
4091,2,100.0
79273,10,0.0
79273,2,0.0
79273,3,0.0
73468,16,100.0
1720012,1,0.0
1720012,22,0.0
1720012,8,0.0
20671,1,0.0
20671,8,0.0
13689,10,0.0
13689,42,0.0
4086,2,100.0
4091,10,29.0
4091,2,54.0
4091,3,14.0
4091,42,3.0
77812,19,100.0
1640650,10,100.0
13689,10,27.0
13689,2,69.0
13689,3,4.0
1161798,2,100.0
8195,43,100.0
5100,97,100.0
66214,10,0.0
66214,12,0.0
66214,31,0.0
14362,2,100.0
4217,1,24.0
4217,2,35.0
4217,3,2.0
4217,51,39.0
24056,1,49.0
24056,2,51.0
1714603,14,100.0
1658,10,100.0
61134,12,100.0
13793,10,0.0
13793,2,0.0
