id,name,review_status,average_rating,number_of_wines,region,business_name,phone,email,winemaker,website,latitude,longitude
1837,Marqués de Riscal,Completed,3.9,33,492,Herederos del Marqués de Riscal,,marquesderiscal@marquesderiscal.com,Dorne Waters,http://www.marquesderiscal.com,42.511974,-2.618248
243362,Catena,Completed,3.9,28,454,Catena,,,Catena Zapata,,-33.164455,-68.91893
1368,Opus One,Completed,4.6,2,42,Opus One,(707) 963-1979,info@opusonewinery.com,Michael Silacci,http://www.opusonewinery.com,38.4369,-122.4012
1314,E. Guigal,Completed,3.9,34,2399,E. Guigal (Guigal),+33(0)474561022,coordinator@guigal.com,Philippe GUIGAL,http://www.guigal.com,45.488113,4.806892
139072,Mouton Cadet,Completed,3.5,29,383,Mouton Cadet,,,,http://www.moutoncadet.com/,45.21308,-0.769608
1252,Antinori,Completed,4.1,78,394,Marchesi Antinori,055 23595,antinori@antinori.it,Renzo Cotarella,https://www.antinori.it/en/,43.612602,11.191609
4137,Trivento,Completed,3.5,143,454,Bodega Trivento,54 261 4137100,info@trivento.com,Dorne Waters,http://www.trivento.com,-32.97741,-68.78565
3310,Stag's Leap Wine Cellars,Completed,4.3,63,25,Stag's Leap Wine Cellars,707.944.2020,service@stagsleapwinecellars.com,Marcus Notaro,https://www.stagsleapwinecellars.com/,38.401318,-122.32578
1757,Emilio Moro,Completed,4.0,11,405,Bodegas Emilio Moro,34 983 87 84 00,bodega@emiliomoro.com,Mike Drash,http://www.emiliomoro.com,,
37575,Casa Ferreirinha,Completed,3.9,30,433,Casa Ferreirinha,351 227-838 104,info@sograpevinhos.com,,http://www.sograpevinhos.com/marcas/Casa%20Ferreirinha,,
7941,Ornellaia,Completed,4.2,25,3345,Tenuta dell'Ornellaia,39 0565 718 11,info@ornellaia.it,Tenuta dell Ornellaia,http://www.ornellaia.com,,
1675,Cloudy Bay,Completed,4.1,16,732,Cloudy Bay,(643) 520 9140,,Cloudy Bay,http://www.cloudybay.co.nz,-41.469376,173.9697
60883,Masi,Completed,3.8,102,460,Masi Agricola,0456832511,angela.franceschini@masi.it,,http://www.masi.it,,
1413,Tenuta San Guido,Completed,4.3,4,394,Tenuta San Guido,39-0565-762 003,info@sassicaia.com,Tenuta San Guido,http://www.tenutasanguido.com,43.23391,10.616
11049,Alión,Completed,4.4,1,405,Bodegas y Viñedos Alión,34 0983 881 236 ,export@vega-sicilia.com,David Álvarez,http://www.bodegasalion.com,41.607647,-4.434865
1305,Penfolds,Completed,4.0,156,7,Penfolds,(085) 62 0389,penfolds@penfolds.com,Peter Gago,https://www.penfolds.com,-34.920547,138.67702
