backmarketid,price,stockraw,pressurestocklimit,warranty,slug,state_value,state_label,title,price_new,merchant_slug,objectid,brand,warranty,size,storage,memory,model,processor_speed,processor_type,storage_type,date_release,keyboard_type_language,highlightresult_title_value
339245,199.0,31,20,12,dell-latitude-5175-11-core-m5-11-ghz-ssd-128-go-4-go-pas-cher/339245.html#?l=4,4,Stallone,"Dell Latitude 5175 11"" Core m5 1,1 GHz  - SSD 128 Go - 4 Go ",992.0,dell-latitude-5175-11-core-m5-11-ghz-ssd-128-go-4-go-pas-cher/boutique-26/339245.html,1158577,Dell,12.0,11,128,4,Latitude 5175,"1,1",Intel Core m5,SSD,2016,,"Dell Latitude 5175 11"" Core m5 1,1 GHz  - SSD 128 Go - 4 Go "
294844,399.0,4,20,12,hp-elitebook-820-g1-12-core-i5-16-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/294844.html#?l=4,4,Stallone,"Hp EliteBook 820 G1 12"" Core i5 1,6 GHz - SSD 128 Go - 8 Go AZERTY - Français",1350.0,hp-elitebook-820-g1-12-core-i5-16-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/boutique-26/294844.html,944760,HP,12.0,"12,5",128,8,EliteBook 820 G1,"1,6",Intel Core i5,SSD,Juin 2018,AZERTY - Français,"Hp EliteBook 820 G1 12"" Core i5 1,6 GHz - SSD 128 Go - 8 Go AZERTY - Français"
287074,900.0,9,20,12,macbook-air-13-mi-2017-core-i7-22-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/287074.html#?l=1,1,Très bon état,"MacBook Air 13"" (Mi-2017) - Core i7 2,2 GHz - SSD 256 Go - 8 Go AZERTY - Français",1469.0,macbook-air-13-mi-2017-core-i7-22-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-3419/287074.html,1349846,Apple,12.0,"13,3",256,8,MacBook Air,"2,2",Intel Core i7,SSD,Mi-2017,AZERTY - Français,"MacBook Air 13"" (Mi-2017) - Core i7 2,2 GHz - SSD 256 Go - 8 Go AZERTY - Français"
1833,675.0,5,20,12,macbook-pro-13-retina-mi-2014-core-i5-26-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/1833.html#?l=4,4,Stallone,"MacBook Pro 13"" Retina (Mi-2014) - Core i5 2,6 GHz - SSD 128 Go - 8 Go AZERTY - Français",1750.0,macbook-pro-13-retina-mi-2014-core-i5-26-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/boutique-4/1833.html,1350163,Apple,12.0,"13,3",128,8,MacBook Pro,"2,6",Intel Core i5,SSD,Mi-2014,AZERTY - Français,"MacBook Pro 13"" Retina (Mi-2014) - Core i5 2,6 GHz - SSD 128 Go - 8 Go AZERTY - Français"
27780,893.0,5,20,12,dell-latitude-e7470-14-core-i5-24-ghz-ssd-256-go-16-go-azerty-francais-pas-cher/27780.html#?l=4,4,Stallone,"Dell Latitude E7470 14"" Core i5 2,4 GHz  - SSD 256 Go - 16 Go AZERTY - Français",1400.0,dell-latitude-e7470-14-core-i5-24-ghz-ssd-256-go-16-go-azerty-francais-pas-cher/boutique-668/27780.html,1141670,Dell,12.0,14,256,16,Latitude E7470,"2,4",Intel Core i5,SSD,2017,AZERTY - Français,"Dell Latitude E7470 14"" Core i5 2,4 GHz  - SSD 256 Go - 16 Go AZERTY - Français"
2604,409.0,6,20,12,macbook-air-11-mi-2012-core-i5-17-ghz-ssd-64-go-4-go-azerty-francais-pas-cher/2604.html#?l=4,4,Stallone,"MacBook Air   11""   (Mi-2012) - Core i5 1,7 GHz  - SSD 64 Go - 4 Go AZERTY - Français",950.0,macbook-air-11-mi-2012-core-i5-17-ghz-ssd-64-go-4-go-azerty-francais-pas-cher/boutique-94/2604.html,1110208,Apple,12.0,"11,6",64,4,MacBook Air,"1,7",Intel Core i5,SSD,Mi-2012,AZERTY - Français,"MacBook Air   11""   (Mi-2012) - Core i5 1,7 GHz  - SSD 64 Go - 4 Go AZERTY - Français"
19084,1199.0,5,20,12,macbook-pro-15-retina-mi-2015-core-i7-22-ghz-ssd-512-go-16-go-azerty-francais-pas-cher/19084.html#?l=3,3,État correct,"MacBook Pro 15"" Retina (Mi-2015) - Core i7 2,2 GHz - SSD 512 Go - 16 Go AZERTY - Français",2489.0,macbook-pro-15-retina-mi-2015-core-i7-22-ghz-ssd-512-go-16-go-azerty-francais-pas-cher/boutique-4/19084.html,851800,Apple,12.0,"15,4",512,16,MacBook Pro,"2,2",Intel Core i7,SSD,Mi-2015,AZERTY - Français,"MacBook Pro 15"" Retina (Mi-2015) - Core i7 2,2 GHz - SSD 512 Go - 16 Go AZERTY - Français"
261257,173.0,185,20,12,lenovo-m58p-sff-22-core-2-duo-3-ghz-hdd-160-go-2-go-azerty-pas-cher/261257.html#?l=3,3,État correct,"Lenovo M58P SFF 22"" Core 2 Duo 3 GHz  - HDD 160 Go - 2 Go AZERTY",289.0,lenovo-m58p-sff-22-core-2-duo-3-ghz-hdd-160-go-2-go-azerty-pas-cher/boutique-26/261257.html,949276,Lenovo,12.0,22,160,2,M58P SFF,3,Intel Core 2 Duo,HDD,,,"Lenovo M58P SFF 22"" Core 2 Duo 3 GHz  - HDD 160 Go - 2 Go AZERTY"
329969,700.0,1,20,12,dell-latitude-3550-15-core-i3-17-ghz-hdd-500-go-4-go-azerty-francais-pas-cher/329969.html#?l=3,3,État correct,"Dell Latitude 3550 15"" Core i3 1,7 GHz  - HDD 500 Go - 4 Go AZERTY - Français",1200.0,dell-latitude-3550-15-core-i3-17-ghz-hdd-500-go-4-go-azerty-francais-pas-cher/boutique-170/329969.html,1211797,Dell,12.0,"15,6",500,4,Latitude 3550,"1,7",Intel Core i3,HDD,2015,AZERTY - Français,"Dell Latitude 3550 15"" Core i3 1,7 GHz  - HDD 500 Go - 4 Go AZERTY - Français"
286284,1374.0,4,20,24,macbook-pro-touch-bar-13-retina-mi-2019-core-i5-24-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/286284.html#?l=0,0,Comme neuf,"MacBook Pro Touch Bar 13"" Retina (Mi-2019) - Core i5 2,4 GHz - SSD 256 Go - 8 Go AZERTY - Français",1863.0,macbook-pro-touch-bar-13-retina-mi-2019-core-i5-24-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-1853/286284.html,1043788,Apple,24.0,"13,3",256,8,MacBook Pro,"2,4",Intel Core i5,SSD,Mi-2019,AZERTY - Français,"MacBook Pro Touch Bar 13"" Retina (Mi-2019) - Core i5 2,4 GHz - SSD 256 Go - 8 Go AZERTY - Français"
326614,198.0,100,20,12,lenovo-thinkcentre-m91p-core-i5-31-ghz-hdd-500-go-ram-4-go-pas-cher/326614.html#?l=4,4,Stallone,"Lenovo Thinkcentre M91P Core i5 3,1 GHz - HDD 500 Go RAM 4 Go",599.0,lenovo-thinkcentre-m91p-core-i5-31-ghz-hdd-500-go-ram-4-go-pas-cher/boutique-26/326614.html,1242072,,,,,,,,,,,,"Lenovo Thinkcentre M91P Core i5 3,1 GHz - HDD 500 Go RAM 4 Go"
50571,473.0,13,20,12,macbook-air-11-debut-2014-core-i5-14-ghz-ssd-128-go-4-go-azerty-francais-pas-cher/50571.html#?l=4,4,Stallone,"MacBook Air 11"" (Début 2014) - Core i5 1,4 GHz - SSD 128 Go - 4 Go AZERTY - Français",1099.0,macbook-air-11-debut-2014-core-i5-14-ghz-ssd-128-go-4-go-azerty-francais-pas-cher/boutique-94/50571.html,665627,Apple,12.0,"11,6",128,4,MacBook Air,"1,4",Intel Core i5,SSD,Début 2014,AZERTY - Français,"MacBook Air 11"" (Début 2014) - Core i5 1,4 GHz - SSD 128 Go - 4 Go AZERTY - Français"
403902,870.0,8,20,12,hp-probook-640-g1-14-core-i5-25-ghz-ssd-480-go-16-go-azerty-francais-pas-cher/403902.html#?l=4,4,Stallone,"HP ProBook 640 G1 14"" Core i5 2,5 GHz - SSD 480 Go - 16 Go AZERTY - Français",1003.0,hp-probook-640-g1-14-core-i5-25-ghz-ssd-480-go-16-go-azerty-francais-pas-cher/boutique-668/403902.html,1261886,HP,12.0,14,480,16,ProBook 640 G1,"2,5",Intel Core i5,SSD,2013,AZERTY - Français,"HP ProBook 640 G1 14"" Core i5 2,5 GHz - SSD 480 Go - 16 Go AZERTY - Français"
24869,378.0,81,20,12,hp-probook-640-g1-14-core-i5-25-ghz-hdd-500-go-8-go-azerty-francais-pas-cher/24869.html#?l=3,3,État correct,"HP ProBook 640 G1 14"" Core i5 2,5 GHz  - HDD 500 Go - 8 Go AZERTY - Français",529.0,hp-probook-640-g1-14-core-i5-25-ghz-hdd-500-go-8-go-azerty-francais-pas-cher/boutique-26/24869.html,991235,HP,12.0,14,500,8,ProBook 640 G1,"2,5",Intel Core i5,HDD,2013,AZERTY - Français,"HP ProBook 640 G1 14"" Core i5 2,5 GHz  - HDD 500 Go - 8 Go AZERTY - Français"
409654,669.0,12,20,12,dell-latitude-e5470-14-core-i7-27-ghz-ssd-512-go-16-go-azerty-francais-pas-cher/409654.html#?l=4,4,Stallone,"Dell Latitude E5470 14"" Core i7 2,7 GHz - SSD 512 Go - 16 Go AZERTY - Français",1119.0,dell-latitude-e5470-14-core-i7-27-ghz-ssd-512-go-16-go-azerty-francais-pas-cher/boutique-495/409654.html,933873,Dell,12.0,14,512,16,Latitude E5470,"2,7",Intel Core i7,SSD,2016,AZERTY - Français,"Dell Latitude E5470 14"" Core i7 2,7 GHz - SSD 512 Go - 16 Go AZERTY - Français"
245626,309.0,3,20,12,hp-probook-640-g1-14-core-i5-26-ghz-hdd-320-go-4-go-azerty-francais-pas-cher/245626.html#?l=3,3,État correct,"HP ProBook 640 G1 14"" Core i5 2,6 GHz  - HDD 320 Go - 4 Go AZERTY - Français",625.0,hp-probook-640-g1-14-core-i5-26-ghz-hdd-320-go-4-go-azerty-francais-pas-cher/boutique-3907/245626.html,1226042,HP,12.0,14,320,4,ProBook 640 G1,"2,6",Intel Core i5,HDD,2014,AZERTY - Français,"HP ProBook 640 G1 14"" Core i5 2,6 GHz  - HDD 320 Go - 4 Go AZERTY - Français"
265914,450.0,3,20,12,hp-elitebook-840-g2-14-core-i5-23-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/265914.html#?l=3,3,État correct,"HP EliteBook 840 G2 14"" Core i5 2,3 GHz  - SSD 256 Go - 8 Go AZERTY - Français",1500.0,hp-elitebook-840-g2-14-core-i5-23-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-140/265914.html,1271040,HP,12.0,"14,1",256,8,EliteBook 840 G2,"2,3",Intel Core i5,SSD,2014,AZERTY - Français,"HP EliteBook 840 G2 14"" Core i5 2,3 GHz  - SSD 256 Go - 8 Go AZERTY - Français"
342384,549.0,8,20,12,microsoft-surface-pro-4-12-core-i5-24-ghz-ssd-128-go-4-go-pas-cher/342384.html#?l=3,3,État correct,"Microsoft Surface Pro 4 12"" Core i5 2,4 GHz - SSD 128 Go - 4 Go",999.0,microsoft-surface-pro-4-12-core-i5-24-ghz-ssd-128-go-4-go-pas-cher/boutique-26/342384.html,1344784,Microsoft,12.0,"12,3",128,4,Surface Pro 4,"2,4",Intel Core i5,SSD,2015,,"Microsoft Surface Pro 4 12"" Core i5 2,4 GHz - SSD 128 Go - 4 Go"
205600,334.9,1,20,12,lenovo-thinkpad-l440-14-celeron-2-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/205600.html#?l=3,3,État correct,"Lenovo Thinkpad L440 14"" Celeron 2 GHz - SSD 128 Go - 8 Go AZERTY - Français",800.0,lenovo-thinkpad-l440-14-celeron-2-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/boutique-3988/205600.html,1201915,Lenovo,12.0,14,128,8,Thinkpad L440,2,Intel Celeron,SSD,2014,AZERTY - Français,"Lenovo Thinkpad L440 14"" Celeron 2 GHz - SSD 128 Go - 8 Go AZERTY - Français"
