,Symbol,Stock Name,Country,Market Price,Day Price Range,PE Ratio,marketCap,Dividend Yield,52 Week Low Price Range Change,52 Week High Price Range Change,3 Month Average Daily Volume,52 Week Price Range,priceEpsCurrentYear
0,SNDL,Sundial Growers,us_market,1.53,1.22 - 1.71,,2388865536,,10.086956,-0.6136364,607019610,0.138 - 3.96,-3.642857
1,RMM.L,,gb_market,0.34,0.305 - 0.3485,,36326280,0.022222223,0.69154227,-0.83,205115508,0.201 - 2.0,
2,VAST.L,,gb_market,0.116,0.1113 - 0.1198,,24708580,,0.18367347,-0.6,220674834,0.098 - 0.29,
3,002002.SZ,,cn_market,3.51,3.34 - 3.57,12.446808,9627473920,0.017804155,0.28571427,-0.37765956,105661097,2.73 - 5.64,
4,UJO.L,,gb_market,0.16,0.155 - 0.1687,,31705438,,1.1333332,-0.5,201772895,0.075 - 0.32,
5,000667.SZ,,cn_market,1.81,1.68 - 1.84,,4465251840,,0.17532466,-0.56698567,73481388,1.54 - 4.18,
6,600759.SS,,cn_market,1.96,1.92 - 2.1,,4436479488,,0.3066667,-0.28727272,40936220,1.5 - 2.75,
7,002400.SZ,,cn_market,4.74,4.42 - 4.97,,8263431168,0.0050660796,0.71739125,-0.6305534,57043276,2.76 - 12.83,
8,601388.SS,,cn_market,3.39,3.18 - 3.51,21.455696,7463865344,0.004984424,1.3706295,-0.1285347,94116920,1.43 - 3.89,
9,000683.SZ,,cn_market,2.46,2.24 - 2.46,,9212405760,,0.566879,-0.1934426,38314347,1.57 - 3.05,
10,COPL.L,,gb_market,0.325,0.2856 - 0.325,,27256058,,9.483871,-0.9874031,184791324,0.031 - 25.8,
11,002503.SZ,,cn_market,1.8,1.63 - 1.8,,5566626304,,0.19205296,-0.6830986,87077150,1.51 - 5.68,
12,300182.SZ,,cn_market,3.37,3.01 - 3.44,,8677615616,0.0013157895,0.24814808,-0.51017445,56334381,2.7 - 6.88,
13,TSNP,Tesoro Enterprises,us_market,1.07,0.84 - 1.14,,4169479680,,21399.002,-0.4455958,159593042,5.0E-5 - 1.93,
14,002378.SZ,,cn_market,6.92,6.55 - 6.92,,6395235328,0.0031796503,0.8355438,-0.008595981,20247726,3.77 - 6.98,
15,600063.SS,,cn_market,4.56,4.36 - 4.58,19.570816,8782058496,0.013793103,0.47096777,-0.0769231,42911620,3.1 - 4.94,
16,600121.SS,,cn_market,5.11,4.83 - 5.25,,6226075136,0.008284023,1.9883041,-0.48591545,148089593,1.71 - 9.94,
17,600844.SS,,cn_market,5.45,5.03 - 5.66,,4815614464,,1.1626984,-0.13492069,71350574,2.52 - 6.3,
18,300116.SZ,,cn_market,2.0,1.9 - 2.01,2.9325514,8562160128,,0.39860144,-0.63833636,145263639,1.43 - 5.53,
19,000802.SZ,,cn_market,6.71,6.49 - 6.88,,4803689472,0.0095999995,0.6168674,-0.45045045,19358237,4.15 - 12.21,
