JobTitle	NumDaysPosted	TimeFrame	TodayDate	CompanyName	JobLocation	LowSalaryRange	UpperSalaryRange	SalaryPeriod(per)	CompanyRating	JobSummary	JobUrl
DATA SCIENTIST H/F	30	jours	22-02-2021	Ad Scientiam	Paris (75)					"En tant que Data Scientist vous serez rattaché(e) au Chief Data Officer, vous rejoindrez une équipe de Data Scientists.
Date de début : 27 novembre 2019."	https://fr.indeed.com/rc/clk?jk=3a4c5adaa527c8d4&fccid=fd2f4adfd7e36c17&vjs=3
Data Scientist	30	jours	22-02-2021	Groover	Paris (75)					You have competencies in machine learning & data analysis (Python) ; • You know some of the following libraries: Numpy, Pandas, Scikit Learn, Keras ; • You are…	https://fr.indeed.com/rc/clk?jk=bf23cc61ee6a3545&fccid=a0a72158131ae2dd&vjs=3
Citizen Data Scientist F/H	30	jours	22-02-2021	OCTO Technology	Paris (75)				5.0	"Répondre à leurs besoins et les conseiller sur ces sujets (use cases, organisation de la donnée, gouvernance data, etc).
Lieux : Paris, Île-de-France (FR)."	https://fr.indeed.com/rc/clk?jk=463113bc8cbe92c6&fccid=e463fc7104734a53&vjs=3
Data Analyst, Retail Media (all levels welcome)	30	jours	22-02-2021	Criteo	Paris 9e (75)				4.0	"Passion for translating ‘data-speak’ into relevant, compelling stories.
Partner with Business Developer team to maximize our marketplace health and performance…"	https://fr.indeed.com/rc/clk?jk=463113bc8cbe92c6&fccid=e463fc7104734a53&vjs=3
Ingénieur IA – Data Science / Optimisation (H/F)	30	jours	22-02-2021	ACCENTA	Boulogne-Billancourt (92)					ACCENTA, entreprise de technologie investie dans les Deep Tech, permet aux propriétaires immobilier de réduire leur empreinte énergétique et carbone jusqu’à -80…	https://fr.indeed.com/rc/clk?jk=463113bc8cbe92c6&fccid=e463fc7104734a53&vjs=3
DATA SCIENTIST NLP	30	jours	22-02-2021	Aquila Consulting	Paris (75)					"Ü Conception d’outils d’analyse et de data-visualisation.
À votre bagage technique (data mining et visualisation de données techniques, l'analyse graphique, l…"	https://fr.indeed.com/rc/clk?jk=463113bc8cbe92c6&fccid=e463fc7104734a53&vjs=3
Data Scientist	30	jours	22-02-2021	datafab.io	Saint-Mandé (94)					"Et tu souhaites relever de nouveaux défis.
Tu aimerais évoluer et booster tes compétences tout en participant au développement de solutions innovantes en termes…"	https://fr.indeed.com/rc/clk?jk=463113bc8cbe92c6&fccid=e463fc7104734a53&vjs=3
Assistance à maitrise d'ouvrage Data Analyst / Power BI H/F	30	jours	22-02-2021	PSAPeugeotCitroen	Poissy (78)				4.0	La Direction Qualité de PSA (« Quality and Customer Satisfaction ») a pour mission de fixer les objectifs qualité du Groupe et de mesurer leur performance.	https://fr.indeed.com/rc/clk?jk=463113bc8cbe92c6&fccid=e463fc7104734a53&vjs=3
ST - BAC+5 - Data Analyst F/H	30	jours	22-02-2021	Renault	Boulogne-Billancourt (92)				4.0	Vous préparez un diplôme d'Ingénieur avec une spécialisation data et vous êtes à la recherche d'un stage de six mois dans le secteur de l'automobile.	https://fr.indeed.com/rc/clk?jk=abfc1def1730ac43&fccid=237908de095b6446&vjs=3
Développeur Python & Data H/F	30	jours	22-02-2021	Polyconseil	Paris (75)					"Vous souhaitez vous réorienter vers les problématiques data et avez suivi un MOOC dans ce sens (ex : Udemy).
Expert de la transformation numérique, Polyconseil…"	https://fr.indeed.com/rc/clk?jk=abfc1def1730ac43&fccid=237908de095b6446&vjs=3
DATA SCIENTIST	30	jours	22-02-2021	Homeys	Paris (75)					"Nous recherchons aujourd’hui un data scientist pour :
Affiner les algorithmes de machine learning qui font le lien entre température intérieure, température…"	https://fr.indeed.com/rc/clk?jk=d6384449bb1448f4&fccid=e463fc7104734a53&vjs=3
Innovation / R&D / Data Sciences_Modèle d'offre d'emploi	30	jours	22-02-2021	SUEZ	Rueil-Malmaison (92)				3.4	"Innovation / R&D / Data Sciences_Modèle d'offre d'emploi.
Rueil malmaison, ÎLE-DE-FRANCE.
Avec 90 000 collaborateurs présents sur les cinq continents, SUEZ est…"	https://fr.indeed.com/rc/clk?jk=d6384449bb1448f4&fccid=e463fc7104734a53&vjs=3
Data Scientist	30	jours	22-02-2021	ISoft	Paris (75)					ISoft est un concepteur éditeur de logiciels hautes performances dans les domaines des data sciences, du big data et de la détection de fraude en temps réel.	https://fr.indeed.com/rc/clk?jk=4f1ab14136fc9d02&fccid=09e12974662898fb&vjs=3
Data Analyste dans le domaine des transports et de la logist...	30	jours	22-02-2021	Orange	La Défense (92)				4.1	Au sein de l'équipe offres sur mesures, votre rôle consistera à analyser les besoins métier des clients potentiels de la solution Flux Vision dans les domaines…	https://fr.indeed.com/rc/clk?jk=d6384449bb1448f4&fccid=e463fc7104734a53&vjs=3
Carbon Data Analyst	30	jours	22-02-2021	Carbon4 Finance	Paris (75)					"Carbon4 Finance is a small business focused on providing Climate Data Solutions to the financial sector.
Carbon4 Finance clients are asset managers, pension…"	https://fr.indeed.com/rc/clk?jk=d6384449bb1448f4&fccid=e463fc7104734a53&vjs=3
Data Scientist (H/F)	30	jours	22-02-2021	Bel Group	Suresnes (92)				3.7	"Poste en CDI - France entière.
For Good, notre signature d’entreprise, traduit l’engagement de Bel pour une alimentation plus saine et responsable pour tous."	https://fr.indeed.com/company/ABD-Partners/jobs/Data-Scientist-c47c0457a9014111?fccid=c1bbfdba6f77f7b9&vjs=3
