finess_et;finess_ej;raison_sociale;raison_sociale_entite_juridique;adresse_administrative_1;adresse_administrative_2;adresse_complete;complement_adresse;num_dept;dept;cp_ville;num_tel;num_fax;num_cat;categorie_de_l_etablissement;num_type;type_etablissement;num_siret;code_ape;code_tarif;lib_tarification;date_ouverture;lat;lng;wgs84
910003516;910003490;SELARL LABM P Y HEURTE;;;;4 SQ DE LA LIBERATION;;91;ESSONNE;91150 ETAMPES;01 60 80 18 66;01 60 80 12 91;610;Laboratoire d'Analyses;3101;Laboratoires de Biologie Médicale;34878428100027;;1;Etablissement Tarif Libre;1993-09-21;48.4331092;2.1554159;48.4331092,2.1554159
910019918;910020080;LBM MEDI 7 ST PIERRE DU PERRAY;LABORATOIRE DE BIOLOGIE MEDICALE;SITE PRÉ ET POST-ANALYTIQUE;;16 R DU COMMERCE;;91;ESSONNE;91280 ST PIERRE DU PERRAY;01 69 89 42 90;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;41994942500120;;1;Etablissement Tarif Libre;2011-06-24;48.6141543;2.5060508;48.6141543,2.5060508
770019040;450019187;LBM MEDIBIOLAB LIEUSAINT;;;;35 PL DU COLOMBIER;;77;SEINE-ET-MARNE;77127 LIEUSAINT;01 60 18 08 22;01 64 13 98 81;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2011-11-10;48.6334989;2.5522423;48.6334989,2.5522423
910020031;910020080;LBM MEDI 7 CLEVENOT VIRY CHATILLON;LABORATOIRE DE BIOLOGIE MEDICALE;SITE PRÉ ET POST-ANALYTIQUE;;57 R DU COMMANDANT BARRE;;91;ESSONNE;91170 VIRY CHATILLON;01 69 45 31 18;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;41994942500013;;1;Etablissement Tarif Libre;2011-06-24;48.6609655;2.3654424;48.6609655,2.3654424
910019876;780021549;LBM  ORSAY MONTJAY;LABORATOIRE DE BIOLOGIE MEDICALE;;;22 AV MONTJAY;;91;ESSONNE;91400 ORSAY;01 69 07 81 95;01 69 86 17 00;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2011-07-25;48.6854853;2.1810424;48.6854853,2.1810424
910020163;910020155;LBM BIO ASSO DE L' YVETTE LONGJUMEAU;LABORATOIRE DE BIOLOGIE MEDICALE;;;4 R LEONTINE SOHIER;;91;ESSONNE;91160 LONGJUMEAU;01 69 79 96 00;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;38322429200011;;1;Etablissement Tarif Libre;2011-09-22;48.6947988;2.2948988;48.6947988,2.2948988
910019561;940018898;LBM BIO PATH BRUNOY;LABORATOIRE DE BIOLOGIE MEDICALE BIO PATH BRUNOY;;CENTRE COMMERCIAL TALMA;3 BD CHARLES DE GAULLE;;91;ESSONNE;91800 BRUNOY;01 60 47 20 20;01 60 47 30 30;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2011-01-02;48.6949786;2.5049323;48.6949786,2.5049323
910019884;780021549;LBM  PALAISEAU STALINDGRAD;LABORATOIRE DE BIOLOGIE MEDICALE;;;101 AV DE STALINGRAD;;91;ESSONNE;91120 PALAISEAU;01 69 20 25 64;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2011-07-25;48.713135;2.260576;48.713135,2.260576
780002457;780002440;LABM COQUIL DANIELLE;;;;20 R DU 11 NOVEMBRE;;78;YVELINES;78690 LES ESSARTS LE ROI;01 30 41 68 04;01 30 46 40 59;610;Laboratoire d'Analyses;3101;Laboratoires de Biologie Médicale;38451813000016;;99;Indéterminé;1978-04-17;48.7180019;1.8947111;48.7180019,1.8947111
940017155;940002884;LABM BERTRAND;;;;5 ALL DU RELAIS;;94;VAL DE MARNE;94440 VILLECRESNES;01 45 99 06 06;;610;Laboratoire d'Analyses;3101;Laboratoires de Biologie Médicale;32726994000026;8690B;99;Indéterminé;1996-03-29;48.7271969;2.5318957;48.7271969,2.5318957
940020985;910020080;LBM MEDI 7 VILLENEUVE;;;;2T R DE VERDUN;;94;VAL DE MARNE;94190 VILLENEUVE ST GEORGES;01 43 82 50 77;01 43 82 62 00;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2012-09-08;48.7305084;2.4469562;48.7305084,2.4469562
910020361;910020403;LBM NOVESCIA PARIS SUD MASSY;;SITE PRE ET POST ANLYTIQUE;;6 AV NOYER LAMBERT;;91;ESSONNE;91300 MASSY;01 60 13 62 62;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;39067550200038;;1;Etablissement Tarif Libre;2012-06-25;48.731087;2.291583;48.731087,2.291583
