ID,id_ej,finess,rs,adresse,cpl_loc,do_prel,do_antigenic,longitude,latitude,mod_prel,public,horaire,horaire_prio,check_rdv,tel_rdv,web_rdv,date_modif
OUgdUyNd3pM7HohX,010008407,010005239,CH DU HAUT BUGEY - GEOVREISSET,1 RTE DE VEYZIAT 01108 OYONNAX CEDEX,,OUI,NON,5.62734768997551,46.2750589149894,Sur place,Personnel soignant/patients hospitalisés dans l'etablissement,,,,0474731002,,2020-10-29
CzfBJnkzOCt9QofX,060021904,060024247,LBM EUROFINS LABAZUR NICE SITE ST GEORGE,2 AV DE RIMIEZ 06000 NICE,,OUI,NON,7.27287780162723,43.7394118428928,En étab. santé,Hospitalisés,Non ouvert au public,,Sur rendez-vous uniquement,,,2020-10-29
Mqm7oxa6cfUFLTfj,120006309,120783063,CSI UDSMA RODEZ,31 Avenue de la Gineste 12000 Rodez,LABORATOIRE DE SECTEUR LxBIO Béteille - 22 rue Béteille - 12000 Rodez,OUI,NON,2.566289,44.361668,Equipes mobiles,patients fragiles,,,Sur rendez-vous uniquement,06 80 39 53 66 (à partir du lundi 18 mai),,2020-11-26
qpG7QV9emi318C2Q,120006309,120782230,CSI UDSMA MUR DE BARREZ,Avenue du Cardinal Verdier 12600 Mur-de-Barrez,LABORATOIRE DE SECTEUR LxBIO ESPALION - 4 av d'Estaing - 12500 ESPALION,OUI,NON,2.660854,44.843268,Equipes mobiles,patients fragiles,,,Sur rendez-vous uniquement,06 80 39 53 66 (à partir du lundi 18 mai),,2020-11-26
uSeSUjGfk2vJ4mrG,120006309,120782248,CSI UDSMA VILLEFRANCHE DE ROUERGUE,12 Quai du Temple 12200 Villefranche-de-Rouergue,LABORATOIRE DE SECTEUR LxBIO VILLEFRANCHE DE ROUERGUE - place Fontanges - 12200 VILLEFRANCHE DE ROUERGUE,OUI,NON,2.039347,44.34935,Equipes mobiles,patients fragiles,,,Sur rendez-vous uniquement,06 80 39 53 66 (à partir du lundi 18 mai),,2020-11-26
ukxnB4Z2JTUWrNZL,120006309,120782933,CSI UDSMA VILLECOMTAL,Route de Rodez 12580 Villecomtal,LABORATOIRE DE SECTEUR LxBIO ESPALION - 4 av d'Estaing - 12500 ESPALION,OUI,NON,2.567048,44.533753,Equipes mobiles,patients fragiles,,,Sur rendez-vous uniquement,06 80 39 53 66 (à partir du lundi 18 mai),,2020-11-26
AI65YY6sJIZ9Z8Mv,120006309,1207870215,CSI UDSMA St AFFRIQUE,23 Place de la Liberté 12400 Saint-Affrique,LABORATOIRE DE SECTEUR LxBIO St AFFRIQUE 1 Place Lonjon Raynaud 12400 ST AFFRIQUE,OUI,NON,2.887033,43.958674,Equipes mobiles,patients fragiles,,,Sur rendez-vous uniquement,06 80 39 53 66 (à partir du lundi 18 mai),,2020-11-26
axU0OXLLEmcxgojh,120006309,120782255,CSI UDSMA St SERNIN SUR RANCE,20 Avenue d'Albi 12380 Saint-Sernin-sur-Rance,LABORATOIRE DE SECTEUR LxBIO St AFFRIQUE 1 Place Lonjon Raynaud 12400 ST AFFRIQUE,OUI,NON,2.603485,43.885944,Equipes mobiles,patients fragiles,,,Sur rendez-vous uniquement,06 80 39 53 66 (à partir du lundi 18 mai),,2020-11-26
UdZRNEyunCia0tHD,120006309,120786785,CSI UDSMA St BEAUZELY,chemin des gardiès 12620 Saint-Beauzély,LABORATOIRE DE SECTEUR  LxBIO MILLAU - 37 av Jean Jaurès - 12100 MILLAU,OUI,NON,2.95747339725494,44.1667053507021,Equipes mobiles,patients fragiles,,,Sur rendez-vous uniquement,06 80 39 53 66 (à partir du lundi 18 mai),,2020-11-26
igiLis3kwOwSKLHg,120006309,120782966,CSI UDSMA RIGNAC,10 Rue de la Muraille 12390 Rignac,LABORATOIRE DE SECTEUR LxBIO Béteille - 22 rue Béteille - 12000 Rodez,OUI,NON,2.288923,44.409495,Equipes mobiles,patients fragiles,,,Sur rendez-vous uniquement,06 80 39 53 66 (à partir du lundi 18 mai),,2020-11-26
os2COgp4Jp6RRk6L,120006309,120782222,CSI UDSMA MILLAU,26 Rue Lucien Costes 12100 Millau,LABORATOIRE DE SECTEUR  LxBIO MILLAU - 37 av Jean Jaurès - 12100 MILLAU,OUI,NON,3.08298,44.105254,Equipes mobiles,patients fragiles,,,Sur rendez-vous uniquement,06 80 39 53 66 (à partir du lundi 18 mai),,2020-11-26
k3dTumITg7N25OUt,120006309,120783048,CSI UDSMA  DECAZEVILLE,Avenue du 10 Aout 12300 Decazeville,LABORATOIRE DE SECTEUR                                LxBIO DECAZEVILLE - 3 place Cabrol - 12300 Decazeville,OUI,NON,2.255031,44.558601,Equipes mobiles,patients fragiles,,,Sur rendez-vous uniquement,06 80 39 53 66 (à partir du lundi 18 mai),,2020-11-26
sHbl3pT4ALVmRpB2,120006309,120783063,CSI UDSMA CAPDENAC,3 Rue Emile Combe 12700 Capdenac-Gare,LABORATOIRE DE SECTEUR                                LxBIO DECAZEVILLE - 3 place Cabrol - 12300 Decazeville,OUI,NON,2.078768,44.574684,Equipes mobiles,patients fragiles,,,Sur rendez-vous uniquement,06 80 39 53 66 (à partir du lundi 18 mai),,2020-11-26
