ID,id_ej,finess,rs,adresse,cpl_loc,do_prel,do_antigenic,longitude,latitude,mod_prel,public,horaire,horaire_prio,check_rdv,tel_rdv,web_rdv,date_modif
HlI2rCJ014Dk4X3Z,010001725,010001733,LBM CROIX BLANCHE BOURG EN B,51 AV AMEDEE MERCIER 01000 BOURG EN BRESSE,,OUI,NON,5.24185205182066,46.2038511077026,Sur place,Tout public,lundi : 8h00-12h00 et 14h00-19h00 | mardi : 8h00-12h00 et 14h00-19h00 | mercredi : 8h00-12h00 et 14h00-19h00 | jeudi : 8h00-12h00 et 14h00-19h00 | vendredi : 8h00-12h00 et 14h00-19h00 | samedi : 8h00-12h00 | dimanche : fermé,,Sur rendez-vous uniquement,0474452636,,2020-10-29
N6k2IZRxWgysYAUD,010009843,010009850,LBM BIOPTEAM BOURG EN B LALANDE,14 R DE LA GRENOUILLERE 01000 BOURG EN BRESSE,,OUI,NON,5.22631295949965,46.2084885923992,Sur place,Tout public,,,,0474226107,,2020-10-29
aXgKkWXOZyDwwQog,010009843,010009868,LBM BIOPTEAM BOURG EN B BRETIN,8 PL JOUBERT 01000 BOURG EN BRESSE,,OUI,NON,5.22213399470798,46.2031860200091,Sur place,Tout public,lundi : 10h00-12h00  mardi : 10h00-12h00  mercredi : 10h00-12h00  jeudi : 10h00-12h00  vendredi : 10h00-12h00  samedi : fermé  dimanche : fermé,,,0474225209,,2020-10-29
dIv6XOa41yZUSmf8,010009843,010009876,LBM BIOPTEAM VONNAS,48 PL FERDINAND DE BEOST 01540 VONNAS,,OUI,NON,4.99175034653428,46.2187859343967,Sur place,Tout public,lundi : 8h30-16h30  mardi : 8h30-16h30  mercredi : 8h30-16h30  jeudi : 8h30-16h30  vendredi : 8h30-16h30  samedi : fermé  dimanche : fermé,,,0474500517,,2020-10-29
B1J9ffrWHd9E2SSQ,020000063,020000162,CH SAINT-QUENTIN,1 R MICHEL DE L'HOSPITAL 02321 ST QUENTIN CEDEX,,OUI,NON,3.26915268288148,49.8618454092128,Sur place,Tout public,,,,,,2020-10-29
wrHHpxvrV8a3e2Er,020000253,020000394,CH LAON,33 R MARCELIN BERTHELOT 02001 LAON CEDEX,"salle de prélèvement Covid, couloir B",OUI,NON,3.61096827863758,49.5637153867027,Sur place,Tout public,lundi : 9h00-17h00 | mardi : 9h00-17h00 | mercredi : 9h00-17h00 | jeudi : 9h00-17h00 | vendredi : 9h00-17h00 | samedi : fermé | dimanche : fermé,,Sur rendez-vous uniquement,0323243260,0323243260,2020-10-29
eDgQf3jFSLF7cnLJ,020015087,020015129,LBM SYNLAB Nord de France GUISE,42 Rue Alfred Chollet 02120 Guise,"Salle Communale, rue Beauval, 02120 Guise",OUI,NON,3.627972,49.899185,Sur place,Tout public,,,Avec ou sans rendez-vous,,,2020-10-29
4eQRMAY0dWMzKyCI,020015087,020015236,LBM SYNLAB Nord de France LAON BROSSOLETTE,113 Boulevard Pierre Brossolette 02000 Laon,,OUI,NON,3.618742,49.569244,Sur place,Tout public,,,Sur rendez-vous uniquement,0323231446,,2020-10-29
sdIvIoCgBTys4lau,020015087,020015426,LBM SYNLAB Nord de France TERGNIER,110 Boulevard Gambetta 02700 Tergnier,,OUI,NON,3.287216,49.652518,Sur place,Tout public,,,Sur rendez-vous uniquement,0323570565,,2020-10-29
iBWGHKcNgaKgJARJ,020015087,020015657,LBM SYNLAB Nord de France SOISSONS,29 Rue du College 02200 Soissons,"2 rue Martin Luther King, 02064 Belleu",OUI,NON,3.32464,49.38206,Sur place,Tout public,,,Avec ou sans rendez-vous,,,2020-10-29
CVEaRpUQLyiyi3I1,020015087,020015848,LBM SYNLAB Nord de France SAINT-QUENTIN FAIDHERBE,9 AV FAIDHERBE 02100 ST QUENTIN,"Camping municipal / Auberge de jeunesse, rue Gaston Bachelard, 02100 Saint-Quentin",OUI,NON,3.28164455433242,49.8446618361253,Drive,Tout public,,,Sur rendez-vous uniquement,,,2020-10-29
xPJ6rYXuVIJ6w1Rp,020015145,020015152,LBM CORCY SOISSONS SAINT MARTIN,1 Rue Saint-martin 02200 Soissons,,OUI,NON,3.328867,49.376744,Sur place,Tout public,,,,0323532019,,2020-10-29
5lEd5virzubT7qIU,020015145,600012637,LBM CORCY NOYON,29 Avenue Jean Jaures 60400 Noyon,,OUI,NON,2.991533,49.575904,Sur place,Tout public,,,,0344931639,,2020-10-29
