iter	Logloss
0	0.688768719
1	0.6840055679
2	0.6798661499
3	0.6753543402
4	0.6712417864
5	0.6669248549
6	0.663143367
7	0.6589408538
8	0.6550847507
9	0.6506379853
10	0.6478924118
11	0.6434765916
12	0.6393357619
13	0.635244558
14	0.6313536647
15	0.6276037514
16	0.6251795918
17	0.6221138317
18	0.6192333611
19	0.6158229633
20	0.6130067055
21	0.6087109467
22	0.605746061
23	0.6017560633
24	0.5986856028
25	0.5954508469
26	0.5922077161
27	0.5892944416
28	0.5858465533
29	0.5833790539
30	0.5797067069
31	0.5769251208
32	0.5741383071
33	0.5709664555
34	0.5675810165
35	0.5644446903
36	0.5608980307
37	0.5578618362
38	0.5547829677
39	0.5514692453
40	0.5480446857
41	0.5448169556
42	0.5425830862
43	0.5394641359
44	0.5367448065
45	0.5342856917
46	0.5318073986
47	0.5292490215
48	0.5271657785
49	0.5240599114
50	0.5222242319
51	0.5194883648
52	0.5164111477
53	0.5139390589
54	0.5114884467
55	0.5086397993
56	0.5063059532
57	0.5040459178
58	0.5018399682
59	0.4995337552
60	0.4968444905
61	0.4945466503
62	0.4922179881
63	0.4900642002
64	0.4881409115
65	0.4853176523
66	0.4828710978
67	0.4817371087
68	0.4797035085
69	0.4772090332
70	0.4752344238
71	0.473146151
72	0.4713049542
73	0.4695559198
74	0.4683242037
75	0.4658325173
76	0.4651192166
77	0.463360853
78	0.461560565
79	0.4596424118
80	0.4574085356
81	0.4558757967
82	0.4539944199
83	0.4529191291
84	0.4508335403
85	0.4489459935
86	0.446799757
87	0.4446578574
88	0.4427692942
89	0.4410653244
90	0.4394603609
91	0.4374352913
92	0.4366543801
93	0.4352661279
94	0.4333757305
95	0.4317505964
96	0.4298567293
97	0.4280845549
98	0.4263830059
99	0.4247698453
100	0.4234112217
101	0.421692258
102	0.4206171679
103	0.4186682592
104	0.417393599
105	0.4153513489
106	0.4136242044
107	0.4119806477
108	0.4105992789
109	0.4089609126
110	0.4074800324
111	0.4061808639
112	0.4047496788
113	0.4042848362
114	0.4022536402
115	0.4009001031
116	0.399068874
117	0.3974930572
118	0.3962966937
119	0.3950753447
120	0.3936996224
121	0.3921959185
122	0.3904642986
123	0.3887275665
124	0.3874478406
125	0.3860580757
126	0.384400612
127	0.3829204927
128	0.3817316463
129	0.3802419419
130	0.3793636622
131	0.3779427807
132	0.3768228392
133	0.3757770976
134	0.3743145843
135	0.3732055944
136	0.3717348236
137	0.3701671599
138	0.3688640403
139	0.367205055
140	0.3661096495
141	0.3648745422
142	0.3646366408
143	0.3633963174
144	0.3625092138
145	0.3611260081
146	0.359711216
147	0.3588785616
148	0.3573445584
149	0.3564825608
150	0.355777006
151	0.3543454187
152	0.3534415994
153	0.3526446975
154	0.3519989089
155	0.3509859342
156	0.3500049989
157	0.3489961926
158	0.3482638325
159	0.3469832206
160	0.3460766304
161	0.3450916374
162	0.344124893
163	0.3434799195
164	0.3423523927
165	0.3412183709
166	0.3398670595
167	0.3394091879
168	0.3385525784
169	0.3379066579
170	0.3370519856
171	0.3361649196
172	0.3351562938
173	0.3341206094
174	0.3335309377
175	0.3325261044
176	0.3315952688
177	0.3303694843
178	0.3293874374
179	0.328828459
180	0.3282345151
181	0.3275148506
182	0.3263631778
183	0.325629002
184	0.3247710265
185	0.3236733232
186	0.3229674734
187	0.3222403756
188	0.3212443519
189	0.3201314247
190	0.3191198754
191	0.3186113556
192	0.3177854043
193	0.3170746468
194	0.3161356906
195	0.3152314156
196	0.3139623509
197	0.3129398333
198	0.3121866002
199	0.3113719666
200	0.3108126159
201	0.3102106762
202	0.3092093094
203	0.3084360416
204	0.3078505178
205	0.30687321
206	0.3059972219
207	0.3051216932
208	0.3043800848
209	0.3035384368
210	0.3027575653
211	0.3018786779
212	0.3009155133
213	0.3002982574
214	0.3000031578
215	0.2992072181
216	0.2982801517
217	0.2975555669
218	0.2969401201
219	0.2959750133
220	0.2953035264
221	0.2948597711
222	0.2942975396
223	0.2935487738
224	0.2931057146
225	0.292138273
226	0.2913868053
227	0.2908194048
228	0.2900107993
229	0.2892979186
230	0.2885659229
231	0.2878262238
232	0.2871138024
233	0.2866221889
234	0.2856089994
235	0.2849980081
236	0.2843210694
237	0.2836969887
238	0.2827834526
239	0.2820024266
240	0.2814025709
241	0.2806349061
242	0.2797387204
243	0.2795921043
244	0.279018722
245	0.2784123676
246	0.2780754535
247	0.2774252341
248	0.2767968051
249	0.2759511125
250	0.2751735937
251	0.274564345
252	0.2738058396
253	0.2731042102
254	0.2725849854
255	0.2720304693
256	0.2714195701
257	0.270868396
258	0.2707035087
259	0.2701247346
260	0.2695595808
261	0.26904162
262	0.2687011958
263	0.2681036041
264	0.2674733349
265	0.2671309241
266	0.2664050873
267	0.2657557162
268	0.2650883113
269	0.2645567337
270	0.2640907521
271	0.2633535088
272	0.2628353784
273	0.2622518331
274	0.2616406565
275	0.2614669738
276	0.2606774593
277	0.2601567839
278	0.2595609174
279	0.2586996536
280	0.2584551167
281	0.2580609912
282	0.2574598622
283	0.2569507998
284	0.2565564025
285	0.2561037585
286	0.2557112442
287	0.2554812535
288	0.2550148344
289	0.2544618491
290	0.2536741792
291	0.2531422776
292	0.2530543354
293	0.2525939818
294	0.2519575984
295	0.2515444926
296	0.250985934
297	0.2504538706
298	0.2499554303
299	0.2494433328
300	0.2488695547
301	0.2483256805
302	0.2478544435
303	0.2472600491
304	0.2467646664
305	0.2464904211
306	0.245947762
307	0.2454259516
308	0.2447112519
309	0.2442212312
310	0.2435694843
311	0.2429290957
312	0.2424814716
313	0.2418414942
314	0.2412418175
315	0.2407243588
316	0.2402095375
317	0.2400115084
318	0.2393457335
319	0.238694315
320	0.238434627
321	0.2380593975
322	0.2377073129
323	0.2371961987
324	0.2366138555
325	0.2357964282
326	0.2353475163
327	0.2350405284
328	0.234385135
329	0.2335924608
330	0.2333200722
331	0.2329112381
332	0.2323405155
333	0.2319485569
334	0.2317427079
335	0.2311451736
336	0.2307413521
337	0.2304389674
338	0.2301226026
339	0.229557479
340	0.2291502226
341	0.2290141097
342	0.2287340404
343	0.2281345772
344	0.2279958508
345	0.2276944675
346	0.2271750829
347	0.2267922099
348	0.2265647024
349	0.2262660344
350	0.2257760443
351	0.2253372675
352	0.2250187092
353	0.2246194376
354	0.2239811087
355	0.2235810593
356	0.2234729871
357	0.2231964516
358	0.2227458545
359	0.2223115752
360	0.2217062249
361	0.2213999596
362	0.2208975286
363	0.2205649958
364	0.2202142816
365	0.2199576292
366	0.2193963818
367	0.2188674366
368	0.2183456545
369	0.2179579323
370	0.2175200045
371	0.2169896133
372	0.2166874628
373	0.2166373543
374	0.2162438507
375	0.2158042193
376	0.2154639891
377	0.2149619283
378	0.214598203
379	0.2140786008
380	0.2138764474
381	0.2135780969
382	0.2135490822
383	0.2131138659
384	0.2127730173
385	0.2124974066
386	0.2118922502
387	0.2114091542
388	0.211005846
389	0.2105618473
390	0.2101262871
391	0.209650341
392	0.2091566054
393	0.2087239963
394	0.2084561596
395	0.2081991775
396	0.2080103985
397	0.2076100422
398	0.207062451
399	0.2068310723
400	0.2064779716
401	0.2061705492
402	0.2057894319
403	0.2053555061
404	0.2049839285
405	0.204567222
406	0.2041690589
407	0.2038066157
408	0.2034225578
409	0.2029178722
410	0.2025502637
411	0.2023714312
412	0.2020049738
413	0.201586564
414	0.2012880646
415	0.2010644718
416	0.2008859745
417	0.2004617126
418	0.200063007
419	0.1998146529
420	0.1995475636
421	0.199250574
422	0.1987640912
423	0.19854882
424	0.1983233745
425	0.1980751714
426	0.1978665245
427	0.1975914829
428	0.1970979338
429	0.1968873819
430	0.1966650019
431	0.1964276987
432	0.1961295036
433	0.1956022725
434	0.1952923915
435	0.194950607
436	0.1946345057
437	0.1944543321
438	0.1941412902
439	0.1939565704
440	0.1936326605
441	0.193398412
442	0.1930228086
443	0.1927747424
444	0.1925628095
445	0.1922047227
446	0.1918542916
447	0.1914888993
448	0.1912209102
449	0.1908559211
450	0.1906785778
451	0.1901847261
452	0.1899396274
453	0.189520791
454	0.1892310496
455	0.1887247772
456	0.1884245529
457	0.1880795855
458	0.1877672977
459	0.1873255982
460	0.1868518486
461	0.1865879005
462	0.1864129062
463	0.1861220657
464	0.1858281539
465	0.18547932
466	0.1852138862
467	0.1849039107
468	0.1844626019
469	0.1842267352
470	0.1840517164
471	0.1839324266
472	0.1834579662
473	0.1832124871
474	0.1829300618
475	0.1824611263
476	0.1822323634
477	0.1817918298
478	0.1812535454
479	0.1812069657
480	0.1810026209
481	0.1806453387
482	0.1802088927
483	0.1798960121
484	0.1795299995
485	0.1793576246
486	0.1791235253
487	0.1790135228
488	0.1788290157
489	0.1785059622
490	0.1782464228
491	0.1779613031
492	0.1775442555
493	0.1772401804
494	0.1770337357
495	0.1769552563
496	0.1766624231
497	0.1765569955
498	0.1763127893
499	0.1760249901
500	0.1757464774
501	0.1755644525
502	0.1752159196
503	0.1749370659
504	0.1747644406
505	0.1744408454
506	0.1741897449
507	0.1739466383
508	0.1736751836
509	0.1734817152
510	0.1732380257
511	0.172995858
512	0.1726424789
513	0.1723994415
514	0.1722436721
515	0.1721120898
516	0.1718914135
517	0.1717257604
518	0.1714171282
519	0.1710666213
520	0.1708478861
521	0.1706209993
522	0.1703582519
523	0.1700714925
524	0.1698716191
525	0.1697741015
526	0.1695635061
527	0.1692340412
528	0.1688948598
529	0.1686645874
530	0.1684657944
531	0.1681803937
532	0.1681610509
533	0.1678819497
534	0.1675060401
535	0.1671368582
536	0.1667860936
537	0.1666114999
538	0.1663734153
539	0.1659654295
540	0.1656472843
541	0.1654421828
542	0.16516837
543	0.1649615892
544	0.1646276189
545	0.1643778147
546	0.1640968182
547	0.1638520181
548	0.1635978038
549	0.1631872193
550	0.1629528371
551	0.162742233
552	0.1624847655
553	0.162346096
554	0.162012765
555	0.1617791181
556	0.1615115647
557	0.1613708693
558	0.1610680202
559	0.1608511938
560	0.1607346595
561	0.1605338472
562	0.1602199491
563	0.1599436997
564	0.1598237183
565	0.1596657955
566	0.1593841815
567	0.159240671
568	0.1589230497
569	0.1587715487
570	0.1584961149
571	0.1583917512
572	0.1582445763
573	0.1580424782
574	0.1577740402
575	0.1575912802
576	0.15747232
577	0.1572673724
578	0.157078789
579	0.1569309216
580	0.156769572
581	0.1565219995
582	0.1562849402
583	0.1559795742
584	0.1557838881
585	0.1554826583
586	0.1552919465
587	0.1552263522
588	0.1550506167
589	0.1547660872
590	0.1545091999
591	0.1543785992
592	0.1542008298
593	0.1539391605
594	0.1536983539
595	0.1535218674
596	0.153194874
597	0.1529919044
598	0.1529298851
599	0.1526701789
600	0.1524111086
601	0.1523236776
602	0.1521938685
603	0.1520972079
604	0.1518398358
605	0.1516021061
606	0.1514110719
607	0.1512130038
608	0.1510698043
609	0.1507628649
610	0.1505496489
611	0.1503075692
612	0.1501360607
613	0.1497775153
614	0.1495650414
615	0.1493617056
616	0.1490671853
617	0.1489565959
618	0.1487431756
619	0.1485325682
620	0.1484097469
621	0.1481119268
622	0.1479103243
623	0.1477264675
624	0.1474778537
625	0.1473883203
626	0.147224768
627	0.1470457986
628	0.1468658444
629	0.146622281
630	0.1464790927
631	0.1462511466
632	0.1460670299
633	0.1458641779
634	0.1455098286
635	0.1453354487
636	0.1450362484
637	0.1447410218
638	0.1444390937
639	0.144257391
640	0.1441861464
641	0.1438875629
642	0.1436584908
643	0.1435420147
644	0.1434142057
645	0.1431946111
646	0.1430199594
647	0.1428117581
648	0.142524838
649	0.1423776575
650	0.1422664472
651	0.1420899154
652	0.1418406206
653	0.1416458077
654	0.1414161412
655	0.1413215559
656	0.141223623
657	0.1410843834
658	0.1407835926
659	0.1405325388
660	0.1403971022
661	0.1401196666
662	0.1398759576
663	0.1396314156
664	0.1395142944
665	0.1394011094
666	0.1392703548
667	0.139019474
668	0.1388270097
669	0.1386337468
670	0.1384524769
671	0.1382744113
672	0.1380218669
673	0.137914893
674	0.1378369703
675	0.1376866797
676	0.137462235
677	0.1371909524
678	0.1369529054
679	0.136811089
680	0.1366106466
681	0.1365011287
682	0.1362637807
683	0.13598329
684	0.135725175
685	0.1357143998
686	0.1355560055
687	0.1354531078
688	0.1352433707
689	0.1350609125
690	0.1348755426
691	0.1346307698
692	0.1344784047
693	0.134309416
694	0.1342286509
695	0.1339294155
696	0.1337968962
697	0.1336832448
698	0.1334697212
699	0.1332018618
700	0.1330619748
701	0.132862246
702	0.1326655775
703	0.1324852382
704	0.1323665619
705	0.1321613828
706	0.1320224939
707	0.1319136801
708	0.1317841066
709	0.1317276167
710	0.1314776795
711	0.1313324704
712	0.1312238532
713	0.1310971842
714	0.1309161224
715	0.130614728
716	0.1303955435
717	0.1302163828
718	0.1299288746
719	0.1298153111
720	0.129501853
721	0.129333205
722	0.1291080412
723	0.1289576957
724	0.1288315078
725	0.1286103521
726	0.1285088817
727	0.1283646631
728	0.1281321252
729	0.1279305035
730	0.1277692605
731	0.1276586282
732	0.1275078047
733	0.1272427376
734	0.1270507458
735	0.1268394405
736	0.1265413396
737	0.1263632759
738	0.1262366483
739	0.1260609962
740	0.1258615248
741	0.125700211
742	0.1256293366
743	0.1254626205
744	0.1252995682
745	0.1250326085
746	0.1247545168
747	0.1245829256
748	0.1244569716
749	0.1243317138
750	0.1241678809
751	0.1240755949
752	0.1237744266
753	0.1236489716
754	0.1234291303
755	0.123236979
756	0.1229964198
757	0.1228562456
758	0.1226648294
759	0.1225740097
760	0.1223732176
761	0.1222287225
762	0.1221078102
763	0.1218553399
764	0.1217276736
765	0.1215475013
766	0.12137581
767	0.1211767245
768	0.1210231387
769	0.1208322431
770	0.1206753067
771	0.1204786011
772	0.120295889
773	0.120213784
774	0.1200313884
775	0.119877224
776	0.1197313865
777	0.1195414709
778	0.1194402946
779	0.1192841761
780	0.1191344968
781	0.1189135681
782	0.1186675376
783	0.118517596
784	0.1184074223
785	0.1182263424
786	0.1180550976
787	0.117965995
788	0.1178271723
789	0.1177421395
790	0.1175622732
791	0.117434556
792	0.1172620837
793	0.117140101
794	0.1170319866
795	0.1167924324
796	0.1166970245
797	0.1165225178
798	0.1163356973
799	0.1161536772
800	0.1160040934
801	0.1158613939
802	0.1157718357
803	0.1156517542
804	0.1154390684
805	0.1153211815
806	0.115210918
807	0.1151566513
808	0.115060549
809	0.1149007814
810	0.1148928926
811	0.1147540097
812	0.1146511161
813	0.1144687308
814	0.114310969
815	0.1141504851
816	0.1140074122
817	0.1139189957
818	0.1139107753
819	0.1137943325
820	0.1136183593
821	0.1135228802
822	0.1132805221
823	0.1131716203
824	0.1129621359
825	0.1128101529
826	0.1126797612
827	0.1125464256
828	0.1123126859
829	0.1121930875
830	0.1121170419
831	0.1119653074
832	0.1118873726
833	0.1116912714
834	0.1115836022
835	0.1114031994
836	0.1112175389
837	0.1110028688
838	0.1109281276
839	0.110841988
840	0.1106092107
841	0.11044665
842	0.110258484
843	0.1102483308
844	0.1100955285
845	0.1099464315
846	0.1098116688
847	0.1097299466
848	0.1096475912
849	0.1094909878
850	0.1093718917
851	0.1091633774
852	0.1090370535
853	0.1089142514
854	0.1087887577
855	0.1086247678
856	0.1085086992
857	0.1084545105
858	0.1083493262
859	0.1080834927
860	0.1079592067
861	0.1078781482
862	0.1077048446
863	0.107514728
864	0.1074165377
865	0.1072278096
866	0.1071612816
867	0.1070301431
868	0.1068920405
869	0.1067570559
870	0.1066931676
871	0.1064977403
