iter	Passed	Remaining
0	56	56447
1	57	28794
2	58	19567
3	60	14962
4	61	12191
5	62	10337
6	63	9006
7	64	8015
8	65	7242
9	66	6621
10	67	6111
11	70	5777
12	72	5475
13	73	5195
14	75	4962
15	77	4747
16	78	4531
17	79	4362
18	82	4259
19	83	4100
20	84	3945
21	85	3811
22	87	3703
23	88	3605
24	90	3519
25	91	3434
26	93	3365
27	94	3285
28	95	3208
29	96	3133
30	98	3067
31	99	3003
32	100	2951
33	102	2905
34	103	2859
35	105	2823
36	106	2776
37	107	2730
38	109	2691
39	110	2651
40	111	2614
41	113	2578
42	114	2543
43	115	2508
44	116	2476
45	117	2442
46	118	2411
47	120	2381
48	121	2355
49	122	2330
50	124	2308
51	125	2283
52	126	2259
53	127	2235
54	128	2215
55	130	2192
56	131	2171
57	132	2149
58	133	2129
59	134	2109
60	135	2089
61	136	2070
62	137	2051
63	139	2034
64	139	2012
65	140	1994
66	142	1978
67	142	1956
68	143	1942
69	145	1927
70	146	1911
71	147	1898
72	148	1883
73	149	1870
74	150	1853
75	151	1840
76	151	1821
77	153	1810
78	154	1798
79	155	1787
80	156	1775
81	157	1764
82	158	1753
83	159	1741
84	160	1730
85	161	1719
86	162	1706
87	164	1702
88	165	1698
89	167	1690
90	169	1688
91	170	1684
92	171	1671
93	172	1666
94	173	1657
95	175	1650
96	176	1645
97	178	1641
98	180	1638
99	180	1628
100	182	1620
101	182	1611
102	184	1605
103	185	1600
104	187	1594
105	188	1588
106	189	1583
107	191	1579
108	192	1573
109	193	1566
110	194	1561
111	196	1555
112	197	1550
113	198	1539
114	198	1531
115	199	1522
116	200	1514
117	201	1506
118	202	1498
119	203	1490
120	204	1482
121	204	1475
122	205	1467
123	206	1460
124	207	1453
125	208	1446
126	209	1438
127	210	1431
128	211	1427
129	212	1424
130	213	1418
131	214	1413
132	216	1408
133	217	1402
134	217	1396
135	218	1390
136	219	1384
137	220	1378
138	221	1372
139	222	1366
140	223	1360
141	224	1354
142	224	1345
143	225	1339
144	226	1334
145	227	1328
146	227	1322
147	228	1317
148	229	1311
149	230	1305
150	231	1300
151	232	1295
152	233	1290
153	233	1284
154	234	1278
155	235	1273
156	236	1268
157	237	1263
158	237	1258
159	238	1254
160	239	1249
161	240	1245
162	241	1240
163	242	1235
164	243	1230
165	244	1226
166	244	1221
167	245	1216
168	247	1215
169	248	1215
170	250	1213
171	251	1211
172	252	1208
173	254	1207
174	255	1204
175	257	1203
176	258	1199
177	259	1197
178	260	1195
179	262	1193
180	263	1192
181	265	1192
182	266	1189
183	267	1187
184	269	1186
185	270	1185
186	272	1184
187	273	1182
188	274	1178
189	275	1175
190	276	1171
191	278	1170
192	279	1168
193	280	1165
194	281	1161
195	282	1157
196	283	1153
197	283	1149
198	284	1146
199	285	1143
200	286	1140
201	287	1137
202	289	1134
203	289	1131
204	290	1127
205	291	1124
206	292	1121
207	293	1117
208	294	1114
209	295	1110
210	296	1107
211	297	1104
212	297	1100
213	298	1097
214	299	1094
215	300	1090
216	301	1087
217	302	1084
218	303	1081
219	304	1078
220	304	1075
221	305	1071
222	306	1068
223	307	1066
224	308	1063
225	309	1060
226	310	1057
227	311	1054
228	312	1051
229	313	1048
230	314	1045
231	314	1042
232	315	1039
233	316	1036
234	317	1033
235	318	1030
236	319	1027
237	320	1025
238	321	1022
239	322	1020
240	322	1017
241	323	1014
242	324	1011
243	325	1008
244	326	1005
245	327	1003
246	327	999
247	328	997
248	329	994
249	330	991
250	331	988
251	332	986
252	333	983
253	334	980
254	334	978
255	335	975
256	336	973
257	337	971
258	338	967
259	339	965
260	340	962
261	341	960
262	341	957
263	343	956
264	344	956
265	346	955
266	347	954
267	348	953
268	349	950
269	350	947
270	351	945
271	352	943
272	353	942
273	354	939
274	355	937
275	356	934
276	357	931
277	357	929
278	358	927
279	359	924
280	360	923
281	362	922
282	363	921
283	364	919
284	366	918
285	367	917
286	368	916
287	369	914
288	370	912
289	371	909
290	372	907
291	373	905
292	373	902
293	375	900
294	376	899
